Title;Authors;DOI;DOI link;Venue;Citation count;Year;Centrality of the Interoperability Problem;"Reasoning for ""Centrality of the Interoperability Problem""";Full-Text Accessibility;"Reasoning for ""Full-Text Accessibility""";Interlanguage collaboration;"Reasoning for ""Interlanguage collaboration""";Proof of Multilingual Systems;"Reasoning for ""Proof of Multilingual Systems""";Publication Language;"Reasoning for ""Publication Language""";Scientific field;"Reasoning for ""Scientific field""";Assessment Methods;"Reasoning for ""Assessment Methods""";Empirical Evidence;"Reasoning for ""Empirical Evidence""";Integration Scope;"Reasoning for ""Integration Scope""";Integration/Interoperability;"Reasoning for ""Integration/Interoperability""";Language Support;"Reasoning for ""Language Support""";Multilingual System Focus;"Reasoning for ""Multilingual System Focus""";Research Type;"Reasoning for ""Research Type""";Technical Solution;"Reasoning for ""Technical Solution""";Screening judgement;"Reasoning for ""Screening judgement""";Screening score;Reason code;Reason note
Towards a recipe for language decomposition: quality assessment of language product lines;W. Cazzola, L. Favalli;10.1007/s10664-021-10074-6;https://doi.org/10.1007/s10664-021-10074-6;Empirical Software Engineering;7;2022;no;The paper focuses on language decomposition and design methodology, not interoperability between programming languages.;maybe;Cannot be determined from abstract alone.;no;The paper does not focus on interaction between components written in different programming languages. Instead, it focuses on the engineering of programming languages themselves.;no;The paper does not analyze software systems built with multiple programming languages.;yes;The abstract is in English.;yes;The paper appears to be from a software engineering context, focusing on programming language engineering.;no;While the paper presents metrics, these are for evaluating language decomposition quality, not multilingual software interoperability.;no;The paper includes empirical evaluation of 26 LPLs, but not of multilingual software systems.;no;The paper focuses on programming language engineering, not software integration.;no;The paper does not address software integration challenges between different programming languages.;no;The paper focuses on language workbenches and language product lines (LPLs), but these are about programming language implementation rather than supporting multiple languages in a software system.;no;The paper does not focus on software systems handling multiple languages.;yes;The paper presents technical and empirical evidence.;no;While the paper presents technical solutions, they are for language workbenches and LPLs, not for multilingual software integration.;Exclude;The research paper focuses on programming language engineering and language workbenches, but does not address multilingual software systems or interoperability between different programming languages. While technically rigorous and presenting empirical evidence, the study fails to meet most screening criteria related to multilingual software integration and collaboration. The paper's scope is primarily about language decomposition methodology rather than cross-language software system challenges.;1.4;EC1;The research paper focuses on programming language engineering and language workbenches, but does not address multilingual software systems or interoperability between different programming languages. While technically rigorous and presenting empirical evidenc…
Polyglot Software Development: Wait, What?;Gunter Mussbacher, Benoît Combemale, Jörg Kienzle, Lola Burgueño, Antonio García-Domínguez, J. Jézéquel, Gwendal Jouneaux, D. Khelladi, Sébastien Mosser, Corinne Pulgar, H. Sahraoui, Maximilian Schiedermeier, T. van der Storm;10.1109/MS.2023.3347875;https://doi.org/10.1109/MS.2023.3347875;IEEE Software;3;2024;maybe;The abstract focuses on defining and characterizing polyglot development, but does not specifically mention interoperability challenges.;yes;The abstract does not provide any information about the full-text accessibility of the paper.;maybe;"The focus on ""polyglot software development"" in the abstract suggests the study is about the interaction of components written in different programming languages, but this is not explicitly confirmed.";no;The abstract does not mention any specific programming languages or software systems.;maybe;The abstract appears to be written in English, suggesting the paper is likely published in English.;maybe;The technical nature of the content in the abstract suggests the paper is published in a software engineering or programming languages context, but the specific venue is not confirmed.;maybe;"The abstract mentions a ""feature model"" which suggests some form of assessment, but the details are unclear.";no;The abstract does not indicate any empirical evaluation or assessment.;yes;The focus on general polyglot development, not just natural language processing, suggests the study addresses software integration aspects beyond just NLP.;maybe;While polyglot development implies integration, the abstract does not explicitly discuss interoperability challenges.;maybe;"The abstract mentions ""polyglot software development"" which implies the study addresses systems supporting multiple programming languages, but it does not explicitly confirm this.";maybe;The focus on polyglot development suggests the study is about software systems that handle multiple programming languages, but it is not entirely clear if this is the case.;yes;The abstract suggests the paper presents technical content with a conceptual model and feature model, rather than just opinions or editorial content.;maybe;"The abstract mentions a ""conceptual model"" and ""feature model"" but does not clearly indicate the presentation of technical solutions, frameworks, or architectures for multilingual software integration.";Include;The abstract addresses polyglot software development with a conceptual model, suggesting potential relevance to multilingual programming language interactions. However, significant uncertainties exist regarding specific programming languages, empirical evidence, and detailed technical solutions, leaving many screening criteria only partially or uncertainly met. The brief nature of the abstract limits definitive assessment of its alignment with the comprehensive screening requirements.;3.5;IC;"Meets IC; no EC triggered."
“I wish I could use any language as it comes to mind”: User experience in digital platforms in the context of multilingual personal information management;Lilach Alon, Maja Krtalić;10.1002/asi.24964;https://doi.org/10.1002/asi.24964;J. Assoc. Inf. Sci. Technol.;2;2024;no;The paper focuses on user experience challenges, not technical interoperability between programming languages.;maybe;Cannot be determined from the abstract alone.;no;The paper does not address interaction between programming languages. It focuses on user experience with multilingual content.;no;No evidence of analyzing software systems built with multiple programming languages.;yes;The abstract is in English, meeting this criterion.;no;The paper appears to be from human-computer interaction or user experience research, not specifically software engineering or programming languages.;no;While the study includes assessment methods, they are focused on user experience rather than software interoperability.;no;The study includes empirical evaluation (16 participants), but not of multilingual software systems.;no;The paper focuses specifically on natural language processing and multilingual content management.;no;The paper discusses integration challenges, but in the context of user interface and content, not programming language integration.;no;The paper discusses multilingual personal information management, but focuses on user experience rather than systems supporting multiple languages. It does not clearly meet this criterion.;no;While the paper addresses multilingual systems, it's from a user experience perspective rather than a technical implementation perspective.;no;The study presents empirical evidence, but not of the type relevant to this review.;no;The paper does not present technical solutions for software integration.;Exclude;The study focuses on multilingual user experience in personal information management, which fundamentally diverges from the technical requirements of software engineering and programming language interoperability. Despite being an empirical research paper, it lacks critical elements such as technical solutions, programming language integration, and software system analysis. Consequently, the paper does not meet the core screening criteria for a systematic review of multilingual software systems.;1.4;EC1;The study focuses on multilingual user experience in personal information management, which fundamentally diverges from the technical requirements of software engineering and programming language interoperability. Despite being an empirical research paper, it …
Learning Managent Systems and Face-to-Face Teaching in Bilingual Modality (Libras/Portuguese);D. Saito, V. Ulbricht;10.1109/TLA.2012.6362362;https://doi.org/10.1109/TLA.2012.6362362;IEEE Latin America Transactions;8;2012;no;While interoperability is mentioned, it's in the context of accessibility and educational features, not programming language interaction.;maybe;Cannot be determined from abstract alone.;no;The paper does not address interaction between programming languages.;no;While it discusses LMS systems, it doesn't analyze systems built with multiple programming languages.;yes;The paper appears to be in English, though with some Portuguese terms.;no;While it's about educational technology, it's not specifically focused on software engineering or programming languages.;no;The paper mentions analysis of accessibility guidelines and interoperability standards, but not specifically for programming language interoperability.;no;The paper appears to present an empirical study, but not of multilingual software systems in the programming sense.;no;The paper focuses specifically on natural language processing and educational technology.;no;While integration is discussed, it's focused on educational features and accessibility rather than programming language integration.;no;The paper discusses bilingual education (Libras/Portuguese) but focuses on natural language support rather than programming languages.;no;While it focuses on multilingual systems, it's in the context of natural languages (Libras/Portuguese) rather than programming languages.;no;The paper presents technical and empirical evidence, but not in the relevant domain.;no;The paper discusses technical solutions, but for educational accessibility rather than programming language integration.;Exclude;The study focuses on bilingual educational technology for deaf students, specifically examining Learning Management Systems in Libras and Portuguese, but does not address programming language interoperability or multilingual software systems. Despite presenting a technical analysis of accessibility and educational technology, the research falls outside the systematic review's criteria for multilingual programming language integration. The paper's scope is fundamentally different from the targeted research domain.;1.4;EC1;The study focuses on bilingual educational technology for deaf students, specifically examining Learning Management Systems in Libras and Portuguese, but does not address programming language interoperability or multilingual software systems. Despite presentin…
LIF at TAC MultiLing: Towards a Truly Language Independent Summarizer;Firas Hmida, Benoit Favre;-;-;Text Analysis Conference;11;2011;no;The focus is on language-independent text summarization, not programming language interoperability.;maybe;Cannot determine from abstract alone.;no;The paper focuses on natural language processing and multilingual text summarization, not on programming language interoperability.;no;While it discusses multilingual text processing, it doesn't mention multiple programming languages.;yes;The abstract is in English.;maybe;Appears to be from TAC (Text Analysis Conference), which is relevant to software engineering and programming languages.;maybe;Mentions evaluation of results, but not specifically for multilingual software interoperability.;yes;Includes empirical evaluation of the system's performance.;no;The integration discussed is specifically about natural language processing.;no;Focuses on natural language processing integration, not programming language integration.;yes;"The paper explicitly addresses multilingual support, mentioning ""Multilingual pilot track"" and a ""language-independent approach.""";yes;But focuses on natural language multilingualism, not programming language multilingualism.;yes;Presents technical and empirical evidence.;yes;But for natural language processing, not programming language integration.;Exclude;The abstract describes a multilingual text summarization system focused on natural language processing, which fundamentally differs from the screening criteria's emphasis on programming language interoperability. Despite addressing multilingual aspects, the research does not explore integration or challenges between different programming languages, rendering it incompatible with the specified screening requirements. The technical solution and empirical evidence presented are specific to text processing rather than software system integration across programming languages.;1.4;EC1;The abstract describes a multilingual text summarization system focused on natural language processing, which fundamentally differs from the screening criteria's emphasis on programming language interoperability. Despite addressing multilingual aspects, the re…
Multilinguality and LLOD: A survey across linguistic description levels;Dagmar Gromann, Elena-Simona Apostol, Christian Chiarcos, Marco Cremaschi, Jorge Gracia, Katerina Gkirtzou, Chaya Liebeskind, Liudmila Mockienė, Michael Rosner, Ineke Schuurman, Gilles Sérasset, Purificação Silvano, Blerina Spahiu, Ciprian-Octavian Truică, A. Utka, Giedrė Valūnaitė Oleškevičienė;10.3233/sw-243591;https://doi.org/10.3233/sw-243591;Semantic Web;4;2024;no;The interoperability discussed is about linguistic data, not programming language interaction.;maybe;Cannot be determined from the abstract alone.;no;The paper focuses on linguistic resources and data, not programming language interoperability.;no;While it discusses multilingual resources, it doesn't address programming languages or software systems built with multiple programming languages.;yes;The abstract is in English.;maybe;While it appears to be a technical survey, it's focused on linguistic resources rather than software engineering specifically.;maybe;"While it mentions ""identifying open challenges and gaps,"" it's not specifically about software interoperability assessment.";maybe;"The abstract mentions a ""comprehensive survey"" but doesn't specify empirical evaluation methods.";no;The paper focuses specifically on natural language processing and linguistic resources.;no;The integration discussed is about linguistic data, not software components.;yes;The paper explicitly focuses on multilingual support and linguistic resources across different languages.;no;While it addresses multilingual aspects, it's focused on linguistic resources rather than software systems.;yes;It's a technical survey with analysis of challenges and gaps.;maybe;"It proposes an ""ideal ecosystem"" but for linguistic data rather than software integration.";Exclude;The abstract describes a linguistic resource survey focused on multilingual data integration, which fundamentally diverges from the screening criteria's emphasis on programming language interoperability and software engineering challenges. Despite addressing multilingual aspects, the paper lacks critical elements such as programming language interaction, software system implementation, and technical solutions for multilingual software integration. Consequently, the abstract does not meet the systematic review's core requirements for inclusion.;1.4;EC1;The abstract describes a linguistic resource survey focused on multilingual data integration, which fundamentally diverges from the screening criteria's emphasis on programming language interoperability and software engineering challenges. Despite addressing m…
Paving the way for enriched metadata of linguistic linked data;Maria Pia di Buono, Hugo Gonçalo Oliveira, V. Mititelu, Blerina Spahiu, Gennaro Nolano;10.3233/sw-222994;https://doi.org/10.3233/sw-222994;Semantic Web;4;2022;no;While interoperability is discussed, it's about linguistic resources and metadata, not programming language interoperability.;maybe;Cannot be determined from the abstract alone.;no;The paper does not address interaction between different programming languages. It focuses on linguistic resources and metadata standards.;no;The paper does not discuss software systems built with multiple programming languages.;yes;The abstract is in English, meeting this criterion.;maybe;The paper appears to be from a relevant field (Natural Language Processing), but may not specifically focus on software engineering or programming languages.;maybe;"The paper mentions ""quantitative and qualitative analysis"" but for linguistic resources, not programming language interoperability.";maybe;The paper includes empirical evaluation, but of linguistic resources rather than multilingual software systems.;no;The paper appears to focus exclusively on natural language processing resources.;no;While interoperability is discussed, it's specifically about linguistic resources, not multilingual software systems.;no;The paper focuses on linguistic resources and metadata, but does not explicitly address systems supporting multiple programming languages. It is about natural language processing resources.;no;While the paper deals with multiple languages, it's in the context of linguistic resources, not software systems handling multiple languages.;yes;The paper presents technical and empirical evidence, meeting this criterion.;no;The paper presents technical solutions, but for linguistic resource metadata, not multilingual software integration.;Exclude;The research focuses on linguistic resource metadata and interoperability within natural language processing, which fundamentally differs from multilingual software system requirements. Despite presenting technical solutions and empirical analysis, the study does not address programming language interaction or multilingual software integration. Consequently, the paper fails to meet the core screening criteria for multilingual software system research.;1.4;EC1;The research focuses on linguistic resource metadata and interoperability within natural language processing, which fundamentally differs from multilingual software system requirements. Despite presenting technical solutions and empirical analysis, the study d…
A fuzzy rule-based system to assess e-government technical interoperability maturity level;A. Corrêa, A. Mota, L. Mota, P. L. Corrêa;10.1108/TG-08-2013-0028;https://doi.org/10.1108/TG-08-2013-0028;-;12;2014;maybe;While interoperability is central to the paper, it is not specifically about programming language interaction.;maybe;The full-text accessibility cannot be determined from the abstract alone.;maybe;The abstract does not specifically address interaction between different programming languages. It focuses on technical interoperability in a broader sense.;no;There is no explicit mention of systems built with multiple programming languages.;yes;The abstract is written in English, meeting this criterion.;yes;The paper appears to be from a software engineering or technical systems domain, likely meeting this criterion.;yes;The paper presents assessment methods through the NEBULOSUS system and fuzzy logic approach.;yes;The abstract mentions validation of the system, suggesting some empirical evaluation.;yes;The paper appears to address technical interoperability broadly, not limited to NLP.;yes;The paper focuses on interoperability, but not specifically in multilingual software contexts.;maybe;The abstract does not explicitly mention support for multiple programming languages. It focuses on technical interoperability in a general sense.;no;There is no clear indication of focus on multiple languages or locales.;yes;The paper presents technical evidence and a concrete system.;yes;The paper presents a technical solution (NEBULOSUS system).;Exclude;The abstract describes a technical interoperability assessment system that lacks specific focus on multilingual programming language interactions. While the research presents a technical solution with assessment methods, it does not meet key screening criteria related to programming language collaboration and multilingual software systems. The study appears more broadly concerned with technical interoperability rather than the targeted research domain.;2.7;EC1;The abstract describes a technical interoperability assessment system that lacks specific focus on multilingual programming language interactions. While the research presents a technical solution with assessment methods, it does not meet key screening criteria…
Linking discourse-level information and the induction of bilingual discourse connective lexicons;Sibel Özer, Murathan Kurfali, Deniz Zeyrek, Amália Mendes, Giedrė Valūnaitė Oleškevičienė;10.3233/sw-223011;https://doi.org/10.3233/sw-223011;Semantic Web;6;2022;no;The main subject is linguistic discourse analysis, not technical challenges of programming language interaction.;maybe;Cannot be determined from the abstract alone.;no;The paper focuses on linguistic discourse analysis, not programming language interaction.;no;While the paper deals with multiple languages, it's in the context of linguistic analysis, not programming languages.;yes;The abstract is written in English.;no;This appears to be a linguistics or natural language processing paper, not software engineering or programming languages.;maybe;While the paper mentions accuracy verification methods, these are for linguistic analysis, not software interoperability.;yes;The paper includes empirical evaluation, but for linguistic analysis rather than software systems.;no;The paper focuses specifically on natural language processing and discourse analysis.;no;The integration discussed is linguistic, not software-based.;yes;The paper explicitly deals with multiple languages, specifically mentioning seven different languages in the TED-Multilingual Discourse Bank.;no;While the paper deals with multiple languages, it's not about software systems handling languages.;yes;The paper presents technical and empirical evidence, but in linguistics rather than software engineering.;no;The solutions presented are for linguistic analysis, not software integration.;Exclude;The research focuses on linguistic discourse analysis across multiple languages, primarily examining linguistic structures and annotation methods rather than software engineering or programming language interactions. Despite addressing multilingual contexts, the study does not meet the screening criteria related to software systems, programming language interoperability, or technical integration challenges. The paper's scope is firmly rooted in linguistics and natural language processing, diverging significantly from the required technical and software engineering domains.;1.4;EC1;The research focuses on linguistic discourse analysis across multiple languages, primarily examining linguistic structures and annotation methods rather than software engineering or programming language interactions. Despite addressing multilingual contexts, t…
Interoperability of health data using FHIR Mapping Language: transforming HL7 CDA to FHIR with reusable visual components;Igor Bossenko, Rainer Randmaa, Gunnar Piho, Peeter Ross;10.3389/fdgth.2024.1480600;https://doi.org/10.3389/fdgth.2024.1480600;Frontiers Digit. Health;2;2024;maybe;While interoperability is central to the paper, it's focused on data format interoperability rather than programming language interoperability.;maybe;Cannot be determined from the abstract alone.;no;The paper does not focus on interaction between components written in different programming languages. Instead, it addresses data format interoperability (CDA to FHIR).;no;No evidence of multiple programming languages being used in the system.;yes;The paper is written in English, meeting this criterion.;yes;The paper appears to be from a software engineering context, focusing on healthcare information systems and data transformation tools.;maybe;The paper mentions evaluation by ENHIS domain experts, but these are focused on data transformation rather than programming language interoperability.;yes;Yes, the paper includes empirical evaluation through domain expert testing.;yes;The paper goes beyond NLP, focusing on healthcare data integration.;maybe;The paper does address integration challenges, but specifically for healthcare data formats rather than programming languages.;maybe;The abstract does not explicitly mention multiple programming languages. Instead, it focuses on data format interoperability rather than programming language interoperability.;no;The paper doesn't focus on software systems handling multiple programming languages.;yes;Yes, it presents technical solutions and empirical evidence.;maybe;While it presents technical solutions, these are for data format interoperability rather than programming language integration.;Exclude;The research paper addresses healthcare data interoperability through data format transformation, but does not meet the systematic review's criteria for programming language interoperability. While technically robust and empirically validated, the study focuses on data format conversion between CDA and FHIR rather than interactions between different programming languages. Consequently, the paper falls outside the specific scope of multilingual software system research.;2.5;EC1;The research paper addresses healthcare data interoperability through data format transformation, but does not meet the systematic review's criteria for programming language interoperability. While technically robust and empirically validated, the study focuse…
Towards automatic evaluation of the Quality-in-Use in context-aware software systems;Sergio Salomón, Rafael Duque, J. L. Montaña, Luis Tenés;10.1007/s12652-021-03693-w;https://doi.org/10.1007/s12652-021-03693-w;Journal of Ambient Intelligence and Humanized Computing;7;2022;no;The paper focuses on quality evaluation of context-aware systems, not programming language interoperability.;maybe;Cannot be determined from the abstract alone.;no;The paper does not address interaction between components written in different programming languages.;no;No mention of software systems built with multiple programming languages.;yes;The abstract is in English, meeting this criterion.;yes;The paper appears to be from a software engineering context, discussing software systems and quality evaluation.;no;While the paper presents assessment methods, they are for quality-in-use evaluation, not multilingual software interoperability.;maybe;The paper includes empirical evaluation through a case study, but not related to multilingual software systems.;no;The paper goes beyond NLP, but doesn't address multilingual software integration.;no;The paper discusses integration, but in the context of context-aware systems, not multilingual software integration.;no;The abstract does not mention anything about supporting multiple programming languages. It focuses on context-aware systems and quality evaluation.;no;The paper does not focus on software systems handling multiple languages.;yes;The paper presents technical and empirical evidence, meeting this criterion.;no;While the paper presents a technical solution (FAQuiS), it's not for multilingual software integration.;Exclude;The research paper focuses on context-aware systems and quality evaluation, fundamentally misaligning with the screening criteria for multilingual software systems and programming language interoperability. Despite meeting some general research quality standards, the study fails to address critical requirements such as language support, interlanguage collaboration, and multilingual system integration. Consequently, the paper does not qualify for inclusion based on the specified screening criteria.;1.4;EC1;The research paper focuses on context-aware systems and quality evaluation, fundamentally misaligning with the screening criteria for multilingual software systems and programming language interoperability. Despite meeting some general research quality standar…
BabelRTS: Polyglot Regression Test Selection;Gabriele Maurina, Walter Cazzola, Sudipto Ghosh;10.1109/TSE.2025.3554403;https://doi.org/10.1109/TSE.2025.3554403;IEEE Transactions on Software Engineering;0;2025;yes;The main subject is the technical challenge of regression test selection across multiple programming languages.;maybe;Cannot be determined from abstract alone, but given the technical nature and empirical evaluation, likely accessible through academic channels.;yes;The paper directly addresses interaction between components in different programming languages, specifically focusing on inter-language dependencies.;yes;The paper explicitly analyzes 142 open-source systems, including both monoglot and polyglot systems.;maybe;While not explicitly stated, the abstract is in English and appears to be from an academic publication.;yes;The paper appears to be from software engineering, focusing on regression test selection and programming languages.;yes;The paper presents evaluation methods, comparing performance with state-of-the-art approaches and analyzing test selection across different language combinations.;yes;The study includes extensive empirical evaluation on 142 systems, analyzing over 2 billion LOC.;yes;The study goes beyond NLP, focusing on general programming language integration and test selection.;yes;The research directly examines interoperability challenges in multilingual software contexts, particularly regarding test selection.;yes;The paper explicitly focuses on multilingual systems, supporting 12 languages and 5 language combinations.;yes;The study explicitly focuses on polyglot software systems.;yes;The paper presents technical solutions and empirical evidence, not just opinions.;yes;The paper presents BabelRTS, a technical solution for multilingual software integration.;Include;This research presents a comprehensive technical solution for multilingual software systems, addressing critical challenges in regression test selection across multiple programming languages. The study offers empirical evidence through extensive analysis of 142 open-source systems, demonstrating a novel approach to handling inter-language dependencies and test selection. By supporting 12 languages and 5 language combinations, the research provides a robust framework for understanding and managing polyglot software integration.;4.9;IC;"Meets IC; no EC triggered."
Technical issues in test process assessment and their current handling in TestSPICE;Tomas Schweigert, Andreas Nehfort;10.1002/smr.1585;https://doi.org/10.1002/smr.1585;J. Softw. Evol. Process.;1;2014;no;"The abstract mentions ""technical issues"" but not specifically related to programming language interoperability.";maybe;The copyright notice suggests this is from Wiley, which is typically accessible through academic libraries, but this isn't explicitly confirmed.;no;There is no mention of interaction between different programming languages.;no;The abstract does not discuss any specific software systems or programming languages.;yes;The abstract is written in English, so this criterion is met.;yes;The paper appears to be about software testing and process models (TestSPICE), which falls within the software engineering field.;no;While the paper discusses process assessment models, these are not specifically related to multilingual software interoperability.;no;The abstract suggests this is more of a descriptive paper about TestSPICE rather than an empirical study.;no;There is no evidence of addressing software integration aspects.;no;The abstract does not address software integration or interoperability challenges.;no;The abstract does not mention anything about multiple languages or language support, so there is no evidence that the study addresses systems supporting multiple languages.;no;There is no evidence of focus on multilingual systems.;yes;The paper appears to be technical in nature, discussing process models and technical issues.;no;While technical solutions are discussed, they are not related to multilingual software integration.;Exclude;The abstract fails to meet critical screening criteria related to multilingual software systems, programming language interoperability, and integration challenges. Despite being a technical paper in software engineering, it lacks evidence of addressing multilingual system interactions, language support, or empirical assessment of cross-language software integration. The paper's focus on testing processes and assessment models diverges significantly from the required research scope.;1.4;EC1;The abstract fails to meet critical screening criteria related to multilingual software systems, programming language interoperability, and integration challenges. Despite being a technical paper in software engineering, it lacks evidence of addressing multili…
Experiences using Tedeso: an extensible and interoperable model-based testing platform;R. S. Filho, W. Hasling, Christof J. Budnik, Monica McKenna;10.1007/s10515-012-0118-3;https://doi.org/10.1007/s10515-012-0118-3;International Conference on Automated Software Engineering;3;2013;no;While interoperability is discussed, it is about testing tools integration rather than programming language interoperability.;maybe;The full-text accessibility cannot be determined from the abstract alone.;no;The abstract does not focus on interaction between different programming languages. Instead, it discusses integration of testing tools into development environments.;no;There is no explicit mention of systems built with multiple programming languages.;yes;The abstract is written in English, meeting this criterion.;yes;The paper appears to be from a software engineering context, discussing testing platforms and software quality assurance.;no;The paper mentions evaluation of the platform's adoption but does not specifically address multilingual software interoperability assessment.;no;The paper includes empirical evidence of adoption in SIEMENS, but not specifically for multilingual systems.;yes;The integration discussed goes beyond NLP, focusing on testing tools and service-oriented architecture.;no;While integration is a key focus, it is not specifically about multilingual software contexts.;no;The abstract does not explicitly mention support for multiple programming languages. While it discusses integration and interoperability, it is in the context of testing tools rather than programming languages.;no;There is no clear indication of focus on multilingual systems.;yes;The paper presents technical evidence and implementation details.;no;While technical solutions are presented, they are not specifically for multilingual software integration.;Exclude;The abstract describes a software testing platform focused on tool integration and service-oriented architecture, but lacks explicit evidence of multilingual programming language support or interoperability. While the paper addresses technical integration challenges, it does not meet the specific screening criteria related to multilingual software systems or programming language interactions. The research appears more oriented towards testing tool adoption than multilingual software engineering challenges.;2.5;EC1;The abstract describes a software testing platform focused on tool integration and service-oriented architecture, but lacks explicit evidence of multilingual programming language support or interoperability. While the paper addresses technical integration chal…
Adaptive Language Translation in Multinational Info Service Platforms;Raami Riadhusin, R. Radhakrishnan, Delecta Jenifer Rajendren, Ibragimov Ulmas Rakhmanovich, N. D. Lal, Utkarsh Anand;10.51983/ijiss-2025.ijiss.15.2.17;https://doi.org/10.51983/ijiss-2025.ijiss.15.2.17;Indian Journal of Information Sources and Services;0;2025;no;While interoperability is mentioned, it's in the context of natural language translation, not programming language interaction.;maybe;Cannot be determined from abstract alone.;no;The paper does not address interaction between different programming languages. Instead, it focuses on natural language translation.;no;No mention of programming languages or multilingual software systems in the programming sense.;yes;The abstract is in English.;maybe;While it appears to be a technical paper, it's focused on NLP and translation rather than software engineering or programming languages specifically.;no;"The abstract mentions ""performance assessments"" but these are for translation quality, not software interoperability.";no;The paper appears to include empirical evaluation, but for translation systems rather than multilingual software systems.;no;The paper focuses exclusively on natural language processing and translation.;no;While integration is discussed, it's focused on natural language processing integration, not programming language integration.;no;The paper discusses multilingual support, but focuses on natural language translation rather than programming languages.;no;While the system is multilingual, it's focused on natural language translation rather than programming languages.;yes;The paper presents technical evidence and implementation details.;no;The paper presents technical solutions, but for natural language translation rather than programming language integration.;Exclude;The systematic review criteria focus on multilingual programming language systems, but this paper exclusively addresses natural language translation using NLP and AI techniques. Despite being a technically rigorous study, the research fundamentally diverges from the required focus on programming language interoperability and software engineering. Consequently, the paper fails to meet the majority of the critical screening criteria.;1.4;EC1;The systematic review criteria focus on multilingual programming language systems, but this paper exclusively addresses natural language translation using NLP and AI techniques. Despite being a technically rigorous study, the research fundamentally diverges fr…
Special issue SOCO 2015: Recent advancements in soft computing and its application in industrial and environmental problems;Álvaro Herrero, Bruno Baruque, Héctor Quintián-Pardo, E. Corchado;10.1016/j.neucom.2017.06.075;https://doi.org/10.1016/j.neucom.2017.06.075;Neurocomputing;0;2018;no;While the paper does address integration challenges, these are between different conversational systems rather than programming languages.;maybe;Cannot be determined from the abstract alone.;no;The abstract doesn't discuss interaction between different programming languages. It focuses on integrating different conversational systems.;no;No evidence of multiple programming languages being used in the system.;yes;The abstract is in English, meeting this criterion.;yes;The paper appears to be from a relevant field (conversational systems, human-machine interaction), likely within software engineering or computer science.;maybe;The abstract mentions evaluation of the proposed architecture, but not specifically for multilingual software interoperability.;yes;"Yes, the paper includes empirical evaluation (""We have evaluated our proposal combining three systems"").";no;The integration discussed is specifically about natural language processing and conversational systems.;maybe;The paper does address integration challenges, but in the context of conversational systems rather than programming languages.;maybe;The abstract discusses multi-domain conversational systems but does not explicitly mention support for multiple spoken languages. It focuses on different functional domains rather than linguistic domains.;no;The focus is on multi-domain conversational systems, not multilingual systems in the programming sense.;yes;Yes, presents technical evidence and evaluation.;maybe;Yes, presents an architecture for integration, but not for multilingual software integration.;Exclude;The research focuses on multi-domain conversational systems within natural language processing, which fundamentally differs from the screening criteria's emphasis on multilingual programming language integration. Despite presenting a technical solution with empirical evidence, the study does not address programming language interoperability or multilingual software systems as defined by the screening requirements. Consequently, the paper does not meet the core screening criteria for multilingual software research.;2.5;EC1;The research focuses on multi-domain conversational systems within natural language processing, which fundamentally differs from the screening criteria's emphasis on multilingual programming language integration. Despite presenting a technical solution with em…
Third-Party Software's Trust Quagmire;J. Voas, G. Hurlburt;10.1109/MC.2015.372;https://doi.org/10.1109/MC.2015.372;Computer;3;2015;maybe;While interoperability is mentioned, it is discussed in a general software integration context rather than specifically about programming language interaction.;maybe;The full-text accessibility cannot be determined from the abstract alone.;no;The abstract does not specifically mention interaction between different programming languages.;no;The abstract does not explicitly mention any specific software systems or programming languages.;yes;The abstract is written in English, meeting this criterion.;yes;The abstract appears to be from a software engineering context, discussing software integration and supply chain concerns.;maybe;The abstract mentions assessment and evaluation but does not provide specific methods or metrics.;maybe;The abstract does not indicate whether empirical evaluation is included.;yes;The paper appears to address general software integration beyond NLP.;yes;The paper clearly focuses on integration and interoperability challenges.;maybe;The abstract does not explicitly mention multiple programming languages, only discussing third-party software integration in general.;no;There is no clear indication of a focus on multilingual systems.;yes;The abstract suggests a technical analysis of software integration challenges.;maybe;The abstract suggests the paper will address solutions for software integration, but not specifically for multilingual integration.;Exclude;The abstract discusses software integration and interoperability challenges but lacks specific focus on multilingual programming language interactions. While addressing general software integration concerns, the text does not explicitly demonstrate criteria related to programming language interoperability, multilingual system analysis, or technical solutions for language-specific integration challenges.;2.7;EC1;The abstract discusses software integration and interoperability challenges but lacks specific focus on multilingual programming language interactions. While addressing general software integration concerns, the text does not explicitly demonstrate criteria re…
