Title,Year,Venue,DOI link,Screening judgement,ReasonCode,ReasonNote,Full-Text Accessibility,Publication Language,Multiple Paradigms,Paradigmatic Compatibility Focus
Proposing a Paradigm for e-Collaboration,2003,-,-,Exclude,EC2,"The paper appears to be primary research developing a framework for e-Collaboration, but it does not specifically investigate paradigmatic compatibility in programming. It focuses on organizational collaboration paradigms, which is a different domain.",maybe,yes,no,no
Performance model’s development: a novel approach encompassing ontology-based data access and visual analytics,2020,Scientometrics,https://doi.org/10.1007/s11192-020-03689-x,Exclude,EC2,"The paper appears to be primary research proposing a new approach to performance evaluation and metrics, but it does not specifically focus on paradigmatic compatibility or software measurement integration. It is more about evaluation metrics and visualization…",maybe,yes,maybe,maybe
Magdeburg The METRICS NEWS can be ordered directly from the Editorial Office,2001,-,-,Exclude,EC1,"The abstract discusses measurement frameworks and empirical evaluations, touching on development paradigms but lacking a clear focus on paradigmatic compatibility. While the paper includes quantitative components and validation methods, its primary emphasis ap…",maybe,yes,maybe,maybe
Model Transformation Reuse: A Graph-based Model Typing Approach. (Réutilisation de transformation de modèle : une approche de typage de modèle basée sur les graphes),2012,-,-,Exclude,EC1,"The dissertation addresses model transformation compatibility through metamodel correspondences, but diverges from direct programming paradigm integration. While demonstrating technical sophistication in transformation mechanisms, the study lacks explicit focu…",maybe,yes,maybe,maybe
Foundations of multi-paradigm modeling and simulation: a meta-theoretic approach to modeling and simulation,2003,Online World Conference on Soft Computing in Industrial Applications,-,Exclude,EC6,The abstract suggests a theoretical framework but does not indicate specific quantitative components or measurements.,maybe,yes,maybe,maybe
Dagstuhl Seminar 9538 New Trends in the Intergration of Paradigms,1995,-,-,Exclude,EC6,The abstract suggests a primarily theoretical discussion without mention of quantitative measurements or systematic observations.,maybe,yes,yes,yes
Integrating Formalized User Experience within Building Design Models,2007,Comput. Aided Civ. Infrastructure Eng.,https://doi.org/10.1111/j.1467-8667.2006.00474.x,Exclude,EC2,"The paper appears to be primary research investigating modeling integration, but it is focused on architectural/construction modeling rather than programming paradigms, which is a significant mismatch with the intended focus.",maybe,yes,no,no
Semantic interoperability and retrieval paradigms,2011,-,-,Exclude,EC1,"While the paper discusses different paradigms, they are retrieval paradigms in information systems, not programming paradigms, which is a different domain than what the criteria specify.",maybe,yes,no,no
Complexity and Development Effort Prediction Models Using Component Oriented Metrics,2006,-,-,Exclude,EC1,The paper focuses on component-oriented design but does not address interactions between multiple programming paradigms.,maybe,yes,no,no
Combining Independent Specifications,2001,Fundamental Approaches to Software Engineering,https://doi.org/10.1007/3-540-45314-8_5,Exclude,EC1,"A formal research paper exploring mixed-paradigm approaches to component specification, focusing on integrating state-based and event-based formalisms through systematic analysis. The study demonstrates strong alignment with paradigmatic compatibility research…",maybe,yes,yes,yes
A Model for Integrating Knowledge into Component-Based Software Development,2001,-,-,Exclude,EC2,"The paper presents primary research on a component model for software integration, but does not specifically focus on paradigmatic compatibility. While it discusses integration challenges, these are more about component interfaces and restrictions rather than …",maybe,yes,no,no
A New Search Paradigm for Natural Language Code Search,2021,-,-,Exclude,EC2,"This is primary research, but it focuses on code search algorithms rather than paradigmatic compatibility or software measurement integration, so it does not meet this criterion.",maybe,yes,no,no
Mappings Between Domain Models in Answer Set Programming,2003,ASp,-,Exclude,EC1,"While the paper deals with integration, it's primarily about database schema integration rather than programming paradigms. The only programming paradigm mentioned is Answer Set Programming, but it's not comparing multiple programming paradigms.",maybe,yes,no,no
Theme issue on Integrated Formal Methods,2015,Journal of Software and Systems Modeling,https://doi.org/10.1007/s10270-015-0510-0,Exclude,EC1,"A theme issue exploring integrated formal methods demonstrates strong alignment with multiple screening criteria, particularly in addressing paradigmatic compatibility and interactions between different modeling approaches. While the abstract clearly indicates…",maybe,yes,yes,yes
Programming paradigms and program comprehension by novices,1998,Annual Workshop of the Psychology of Programming Interest Group,-,Exclude,EC2,"The abstract suggests this is primary research about programming and mental models, but does not appear to focus on paradigmatic compatibility. It seems to be about general programming cognition.",maybe,yes,no,no
Theme issue on Integrated Formal Methods,2016,Journal of Software and Systems Modeling,https://doi.org/10.1007/s10270-015-0510-0,Exclude,EC1,"A theme issue exploring integrated formal methods demonstrates strong alignment with multiple screening criteria, particularly in addressing paradigmatic compatibility and interactions between different modeling approaches. While the abstract clearly indicates…",maybe,yes,yes,yes
A Categorical Model of Process Co-Simulation,2019,International Journal of Advanced Computer Science and Applications,https://doi.org/10.14569/ijacsa.2019.0100355,Exclude,EC6,"While the paper deals with formal systems and mathematical modeling, it does not clearly indicate quantitative measurements or systematic observations.",maybe,yes,maybe,maybe
SOFTWARE COMPONENT COMPLEXITY MEASUREMENT THROUGHPROPOSED INTEGRATION METRICS,2011,-,-,Exclude,EC1,The abstract does not explicitly discuss interactions between different programming paradigms. The focus appears to be on component-based systems rather than paradigm integration.,maybe,yes,no,no
Semantic Web and Geospatial Unique Features Based Geospatial Data Integration,2016,International Journal on Semantic Web and Information Systems (IJSWIS),https://doi.org/10.4018/IJSWIS.2016010101,Exclude,EC2,"The paper is primary research, but it focuses on geospatial data integration rather than paradigmatic compatibility. While it discusses integration, it's not about programming paradigms.",maybe,yes,no,no
Taming Multi-Paradigm Integration in a Software Architecture Description Language,2014,MPM@MoDELS,-,Exclude,EC6,The abstract does not explicitly mention quantitative components or measurements. It focuses more on architectural description and modeling.,maybe,yes,yes,maybe
Analytical aspects of combining holistic evaluation and decomposition Iation for preference modeling in the FITradeoff method,2024,International Transactions in Operational Research,https://doi.org/10.1111/itor.13470,Exclude,EC1,The study demonstrates strong alignment with paradigmatic compatibility research by explicitly integrating two preference modeling paradigms and analyzing their mathematical and analytical implications. While the paper shows robust quantitative components and …,maybe,yes,yes,yes
Language-agnostic multi-paradigm code quality assurance framework,2022,BElgian-NEtherlands software eVOLution symposium,-,Exclude,EC1,"A research study exploring multi-paradigm programming languages demonstrates strong alignment with screening criteria related to paradigmatic compatibility, multiple programming paradigms, and quantitative measurement approaches. While the abstract provides cl…",maybe,yes,yes,yes
Integration Testing Prior to Unit Testing: A Paradigm Shift in Object Oriented Software Testing of Agile Software Engineering,2016,-,https://doi.org/10.17485/IJST/2016/V9I20/91223,Exclude,EC2,"While this is primary research, it focuses on testing paradigms (unit vs integration testing) rather than programming paradigms. The study does not investigate paradigmatic compatibility between programming paradigms.",maybe,yes,no,no
Transforming Meta-design from Paradigm to Working Theory,2019,International Symposium on End-User Development,https://doi.org/10.1007/978-3-030-24781-2_18,Exclude,EC2,"The paper appears to be a research proposal or framework paper about meta-design, but does not clearly indicate primary research or systematic review of paradigm integration.",maybe,yes,no,no
Modeling and Realizing Interoperability,2004,CAiSE Workshops,-,Exclude,EC1,"The paper addresses enterprise application integration across multiple paradigms, but diverges from the specific focus on programming paradigm compatibility. While demonstrating systematic approaches to integration and including empirical evidence, the study d…",maybe,yes,maybe,maybe
Systematizing Modeler Experience (MX) in Model-Driven Engineering Success Stories,2024,Journal of Software and Systems Modeling,https://doi.org/10.1007/s10270-024-01194-w,Exclude,EC1,"The study explores modeling paradigms through user experience, addressing multiple programming approaches but lacking clear quantitative validation methods. While the research touches on paradigmatic compatibility, it appears more focused on qualitative percep…",maybe,yes,yes,maybe
CodePlex: Software Complexity Measuring Tool based on ECB Measure,2023,International Journal of Engineering and Management Research,https://doi.org/10.31033/ijemr.13.5.8,Exclude,EC1,The paper appears to focus solely on object-oriented programming and does not address interactions between multiple paradigms.,maybe,yes,no,no
A model for multiparadigm systems,1991,International Conference on Scientific Computing,https://doi.org/10.1145/327164.327265,Exclude,EC1,"A theoretical model exploring multiparadigm systems demonstrates strong alignment with criteria related to programming paradigms and language accessibility. However, the abstract lacks clear evidence of empirical validation, quantitative measurements, and syst…",maybe,yes,yes,yes
An ontology-based domain model to enhance the software development process,2014,Int. J. Metadata Semant. Ontologies,https://doi.org/10.1504/IJMSO.2014.063132,Exclude,EC1,"The study proposes a multi-paradigm programming approach integrating ontological, functional, object-oriented, and concurrent paradigms within Clojure, demonstrating strong theoretical foundations in paradigmatic compatibility. However, the research lacks expl…",maybe,yes,yes,yes
"Integration of Software Packages with Different Programming Paradigms , Exemplified by a Ship Model Generating Tool",2007,-,-,Exclude,EC1,"The study addresses paradigmatic compatibility by exploring integration between Fortran and Java programming paradigms in a ship design simulation context. While demonstrating clear focus on multiple programming paradigms and practical implementation, the abst…",maybe,yes,yes,yes
Step-wise refinement in multi-paradigm modeling,2020,ACM/IEEE International Conference on Model Driven Engineering Languages and Systems,https://doi.org/10.1145/3417990.3421441,Exclude,EC1,"A comprehensive study on multi-paradigm modeling that strongly addresses paradigmatic compatibility through a novel Dynamic Multi-Layer Algebra framework, demonstrating systematic approaches to integrating different modeling paradigms. The research provides a …",maybe,yes,yes,yes
"4th International Workshop on Model Driven Engineering, Verification, and Validation: Integrating Verification and Validation in MDE",2008,ACM/IEEE International Conference on Model Driven Engineering Languages and Systems,https://doi.org/10.1007/978-3-540-69073-3_16,Exclude,EC1,"The abstract addresses multiple programming paradigms and their integration, specifically focusing on Model Driven Engineering and traditional verification techniques. While demonstrating clear relevance to paradigmatic compatibility, the text leaves significa…",maybe,yes,yes,maybe
METAMODELLING WITH FORMAL SEMANTICS SPECIFICATIONS FOR AN ACCESS CONTROL METAMODEL WITH DECISION CAPABILITIES,2015,International Conference on Model-Driven Engineering and Software Development,https://doi.org/10.5220/0005272903540362,Exclude,EC1,"The abstract describes a metamodelling approach for access control systems, but fails to meet most screening criteria related to paradigmatic compatibility and integration. While written in English, the study lacks empirical validation, quantitative measuremen…",maybe,yes,maybe,maybe
Integrating Modeling and Simulation with Test and Evaluation Activities,2004,-,https://doi.org/10.2514/6.2004-6800,Exclude,EC2,"The paper proposes a new paradigm for M&S (Modeling and Simulation) and T&E (Testing and Evaluation) integration, which involves paradigm integration, but it is not specifically about programming paradigms, which is the focus of the screening criteria.",maybe,yes,no,no
Quantitative Analysis of Software Component’s Reusability,2019,"Proceedings of the 1st International Conference on Smart Innovation, Ergonomics and Applied Human Factors (SEAHF)",https://doi.org/10.1007/978-3-030-22964-1_5,Exclude,EC1,The abstract does not explicitly mention multiple programming paradigms. The focus appears to be on component-based development rather than interactions between different programming paradigms.,maybe,yes,no,no
Nouveau paradigme d’évaluation des systèmes de dialogue homme-machine,2009,JEPTALNRECITAL,-,Exclude,EC2,"The paper appears to be a research paper about human-machine dialogue systems evaluation, rather than a study on paradigmatic compatibility or software measurement integration.",maybe,yes,no,no
"A Novel Class, Object and Inheritance based Coupling Measure (COICM) to Find Better OOP Paradigm using JAVA",2011,-,-,Exclude,EC1,"The paper focuses solely on object-oriented programming and does not address interactions between different programming paradigms, failing to meet the multiple paradigms requirement.",maybe,yes,no,no
A decision making model for software design,2007,"IEEE International Conference on Systems, Man and Cybernetics",https://doi.org/10.1109/ICSMC.2007.4413795,Exclude,EC2,"The paper presents a model for component selection, but does not appear to focus on paradigmatic compatibility or integration. It is about COTS component selection, which is a different focus.",maybe,yes,no,no
Profiling Web Components Quality Using User-Centered Assessment,2017,2017 International Conference on Computational Science and Computational Intelligence (CSCI),https://doi.org/10.1109/CSCI.2017.167,Exclude,EC1,"The study presents a quantitative approach to web component quality metrics with strong empirical validation, but only partially addresses paradigmatic compatibility. While demonstrating robust methodological rigor through user-centered evaluation and systemat…",maybe,yes,maybe,maybe
Paradigm shift and the integrated feedback approach,1995,Proceedings of 1995 IEEE International Conference on Robotics and Automation,https://doi.org/10.1109/ROBOT.1995.525688,Exclude,EC2,"The paper appears to be primary research, but it focuses on design paradigm shifting in manufacturing/assembly rather than programming paradigms, which is a significant mismatch with the intended focus.",maybe,yes,no,no
A tool for the convergence of multilevel modelling approaches,2018,ACM/IEEE International Conference on Model Driven Engineering Languages and Systems,-,Exclude,EC2,"The paper appears to be primary research, but it focuses on a tool for multilevel modeling rather than paradigmatic compatibility specifically. It does not clearly align with the required focus on paradigm integration or software measurement.",maybe,yes,no,no
Quality of Service Ranking by Quantifying Partial Compliance of Requirements,2020,International Conference on Coordination Models and Languages,https://doi.org/10.1007/978-3-030-50029-0_12,Exclude,EC1,"The paper does not explicitly address multiple programming paradigms. While it deals with service integration, it is more focused on QoS metrics than paradigmatic compatibility.",maybe,yes,no,maybe
Code Comprehension in a Multi-paradigm Environment: Background and Experimental Setup,2023,Seminar on Advanced Techniques and Tools for Software Evolution,-,Exclude,EC1,"A research proposal exploring code comprehension across object-oriented and functional programming paradigms, utilizing an experimental design with interviews to capture quantitative and qualitative data. The study aims to investigate paradigmatic compatibilit…",maybe,yes,yes,yes
Towards a Unifying Model Transformation Bus,2015,GEMOC+MPM@MoDELS,-,Exclude,EC1,"A multi-paradigm modeling framework addressing tool interoperability demonstrates strong alignment with paradigmatic compatibility research, focusing on integrating different programming paradigms through a model-driven approach. While the study shows promise …",maybe,yes,yes,yes
Integrating incompatible hardware and software systems,2010,ACM Southeast Regional Conference,https://doi.org/10.1145/1900008.1900038,Exclude,EC2,"The paper appears to be primary research investigating integration challenges, but it focuses on hardware-software integration rather than programming paradigm compatibility specifically, which is a significant mismatch with the intended focus.",maybe,yes,no,no
Quality metrics for diversified similarity searching: What they stand for?,2020,Brazilian Symposium on Databases,https://doi.org/10.5753/sbbd.2020.13620,Exclude,EC2,"The paper appears to be primary research, but it focuses on diversity-oriented searches and metrics rather than paradigmatic compatibility specifically. While it mentions ""different paradigms,"" these refer to search approaches rather than programming paradigms…",maybe,yes,no,no
CAMBIO DE PARADIGMAS: IMPLICACIONES PARA EL ACERCAMIENTO AL CONOCIMIENTO CIENTÍFICO,2002,-,-,Exclude,EC2,"This appears to be a theoretical/philosophical discussion about scientific paradigms in general, not primary research about programming paradigm compatibility or a systematic review of software measurement.",maybe,yes,yes,no
Marco de Integración de Paradigmas Tecnológicos hacia una Web Semántica Distribuida basada en la Gestión de Procesos (Integration Framework of Technological Paradigms Towards a Distributed Semantic Web based on Process Management),2018,-,-,Exclude,EC1,"The study demonstrates strong alignment with paradigm integration research, addressing multiple technological paradigms and proposing a methodological approach for semantic web application development. While the paper meets key criteria related to paradigmatic…",maybe,yes,yes,yes
Multimodal System Design Integration Using Category Theory,2023,IEEE Systems Conference,https://doi.org/10.1109/SysCon53073.2023.10131062,Exclude,EC2,"The paper appears to be primary research proposing a method (CMD) for integration, but it is focused on systems engineering rather than programming paradigms specifically, which is a significant deviation from the intended focus.",maybe,yes,no,no
Programming Language Adoption as an Epidemiological Phenomenon,2017,Brazilian Symposium on Software Engineering,https://doi.org/10.1145/3131151.3131188,Exclude,EC2,"The paper appears to be primary research proposing a mathematical model for programming language adoption, but it does not specifically focus on paradigmatic compatibility, instead focusing on adoption patterns. This is a significant mismatch with the criterio…",maybe,yes,maybe,no
A Real-Time Analysis of Human Performance in Interactive and Adaptive Mixed-Reality Simulation,2022,"IEEE/ACM International Conference on Connected Health: Applications, Systems and Engineering Technologies",-,Exclude,EC2,"The paper is primary research, but it focuses on human performance modeling and mixed reality simulation rather than paradigmatic compatibility, so it does not meet this criterion.",maybe,yes,no,no
Rethinking process improvement: from diffusion to translation,2025,International Journal of Operations &amp; Production Management,https://doi.org/10.1108/ijopm-05-2024-0360,Exclude,EC2,"While this is primary research, it focuses on process improvement paradigms in management/organizational contexts, not programming paradigms or software measurement, and therefore does not meet the study type criterion.",maybe,yes,no,no
MCP-RADAR: A Multi-Dimensional Benchmark for Evaluating Tool Use Capabilities in Large Language Models,2025,arXiv.org,https://doi.org/10.48550/arXiv.2505.16700,Exclude,EC1,"The study demonstrates strong empirical and quantitative research methods with comprehensive validation techniques, but diverges from the specific focus on programming paradigm compatibility. While addressing integration and tool interaction, the research prim…",yes,yes,maybe,maybe
On marrying ontological and metamodeling technical spaces,2007,ESEC-FSE '07,https://doi.org/10.1145/1287624.1287687,Exclude,EC6,"The abstract does not indicate any quantitative measurements or systematic observations, suggesting the paper lacks quantitative components.",maybe,yes,yes,yes
Model-driven integration of software and service components,2006,-,-,Exclude,EC1,"While the paper discusses different types of components and services, it doesn't explicitly address different programming paradigms. The focus is more on integration approaches than paradigmatic differences.",maybe,yes,no,no
Knowledge Transfer Between Languages and Paradigms,2000,-,-,Exclude,EC1,"While paradigm shifts are discussed, the abstract doesn't explicitly indicate whether multiple programming paradigms are addressed in detail.",maybe,yes,maybe,no
Computational modeling for improving usability design workflow,2009,"International Conference on Networking, Sensing and Control",https://doi.org/10.1109/ICNSC.2009.4919359,Exclude,EC2,"The paper is primary research, but it focuses on cognitive modeling for usability design rather than investigating paradigmatic compatibility or software measurement.",maybe,yes,no,no
Object-Driven Narrative in AR: A Scenario-Metaphor Framework with VLM Integration,2025,arXiv.org,https://doi.org/10.48550/arXiv.2504.13119,Exclude,EC2,"The paper presents primary research, but it focuses on AR storytelling systems and VLM integration rather than paradigmatic compatibility. While it does discuss integration between different technologies (VLMs and AR), this isn't specifically about programming…",maybe,yes,no,no
Specification and Verification of Communication Paradigms for CBSE in Event B,2023,IEEE International Conference on Engineering of Complex Computer Systems,https://doi.org/10.1109/ICECCS59891.2023.00028,Exclude,EC1,"The study addresses multiple programming paradigms through formal modeling of communication techniques, with a focus on message passing and remote procedure call. While the research includes validation and explores paradigmatic interactions, its primary emphas…",maybe,yes,yes,maybe
Systematic Assessment of Formal Methods Based Models Quality Criteria,2021,MEDI Workshops,https://doi.org/10.1007/978-3-030-87657-9_3,Exclude,EC1,The paper doesn't address interactions between different programming paradigms. It focuses on comparing different formal specifications within the same paradigm (Event-B notation).,maybe,yes,no,no
Web Services Interfaces Assessment through Semantic Similarity of Terms,2014,International Conference of the Chilean Computer Science Society,https://doi.org/10.1109/SCCC.2014.34,Exclude,EC1,The paper appears to focus on compatibility within the Service-Oriented Computing paradigm rather than between multiple programming paradigms.,maybe,yes,no,maybe
An experimental design for evaluating the maintainability of aspect-oriented models enhanced with domain-specific constructs,2010,-,-,Exclude,EC2,"The paper is described as a ""position paper"" that proposes an experimental approach, but does not appear to be primary research or a systematic review yet. It is more of a theoretical proposal.",maybe,yes,yes,yes
UML-based Frameworks for Engineering of Interoperable Information Systems,2003,-,-,Exclude,EC1,"The study proposes a metamodeling architecture with potential implications for paradigm integration, but lacks clear empirical validation and comprehensive evidence of paradigmatic compatibility. While addressing multiple modeling paradigms and suggesting quan…",maybe,yes,yes,maybe
New Trends in the Intergration of Paradigms,2008,-,-,Exclude,EC1,"The abstract describes programming language constructs within the Actor model, but lacks clear evidence of paradigmatic compatibility, empirical validation, or quantitative analysis across multiple programming paradigms. While the research addresses coordinati…",maybe,yes,maybe,maybe
Development and Evaluation Process of Model Transformation,2011,-,-,Exclude,EC1,"The study addresses model transformation paradigms with a systematic approach to comparing different transformation techniques, utilizing case studies and a Goal/Question/Metric methodology. While not directly focused on programming paradigms, the research pro…",maybe,yes,yes,maybe
System evolution by migration coordination,2008,-,-,Exclude,EC1,The paper does not explicitly address interactions between different programming paradigms. It focuses on component interactions within a single coordination framework.,maybe,yes,no,no
Electronic Communications of the EASST Volume X ( 2011 ) Proceedings of the 5 th International Workshop on Multi-Paradigm Modeling ( MPM 2011 ) Semantic Adaptation using CCSL Clock Constraints,2011,-,-,Exclude,EC1,"The study addresses paradigmatic compatibility through semantic adaptation between different modeling paradigms, using formal methods like CCSL. While demonstrating strong theoretical foundations in multiple paradigm interactions, the abstract lacks clear evid…",maybe,yes,yes,yes
Modeling the performance of the human (pilot) interaction in a synthetic flight domain: Information theoretic approach,1992,-,-,Exclude,EC2,"The paper proposes a formal method for human-machine interaction, but does not appear to focus on paradigmatic compatibility or software measurement. It is more focused on human-machine interaction theory.",maybe,yes,no,no
Using Design Paradigms to Evaluate the Collaborative,2008,-,-,Exclude,EC2,"The paper appears to be primary research, but it focuses on design paradigms in media rather than programming paradigms, which is a significant mismatch with the intended focus.",maybe,yes,no,no
Paradigmes pour l'interoperabilite entre environnements virtuels,1996,-,-,Exclude,EC1,"A French-language research paper exploring interoperability between virtual environments, demonstrating strong methodological rigor through compatibility calculations, empirical testing, and systematic analysis of paradigmatic interactions. The study comprehen…",maybe,yes,yes,yes
Formalisation of component-based systems,2007,-,-,Exclude,EC1,"The study presents a formal approach to component-based system design with strong theoretical foundations in compatibility and integration, demonstrating quantitative methods and validation techniques. While addressing systematic software engineering challenge…",maybe,yes,maybe,maybe
Alma Mater Studiorum Università di Bologna Archivio istituzionale,-,-,-,Exclude,EC1,A systematic review exploring multi-paradigm modeling approaches demonstrates strong alignment with criteria focused on paradigmatic compatibility and integration across different computational paradigms. The study provides a comprehensive overview of multi-pa…,maybe,yes,yes,yes
Software metric extension of the Enterprisemodelling technique,1997,-,-,Exclude,EC1,"The study demonstrates strong alignment with paradigm integration by exploring the compatibility between Enterprise Modelling and GQM metrics, with clear focus on multiple programming paradigms. While the research shows promise in addressing methodological int…",maybe,yes,yes,yes
The Object Relational impedance mismatch from a cognitive point of view,2014,-,-,Exclude,EC1,"An experimental study exploring communication challenges between practitioners working across different programming paradigms, with potential empirical insights into semantic compatibility. The research appears to address multiple paradigms and includes an exp…",maybe,yes,yes,maybe
"A Hard Science is Good to Find Textual Similarity as a Measure of Scientific Paradigm Development , A Preliminary Investigation",2011,-,-,Exclude,EC2,"The paper appears to be primary research investigating a measure of paradigm development, but it is focused on academic fields rather than programming paradigms, which is a significant mismatch with the intended focus.",maybe,yes,no,no
Integrating a Declarative with an Imperative Model Transformation Language,2006,-,-,Exclude,EC1,"A research paper exploring paradigmatic compatibility through a hybrid model transformation language, comparing declarative and imperative approaches using a case study benchmark. The study addresses multiple programming paradigms, proposes a novel integration…",maybe,yes,yes,yes
Current Issues in Multi-Paradigm Modeling,2008,-,-,Exclude,EC1,"A workshop summary addressing multi-paradigm modeling demonstrates strong alignment with paradigmatic compatibility and multiple paradigm criteria. However, the abstract lacks clear evidence of empirical validation, quantitative components, and systematic rese…",maybe,yes,yes,yes
Metric Based Evaluation of Software Paradigms,2016,-,-,Exclude,EC1,"The abstract mentions ""four different development approaches"" but doesn't specify if these represent different programming paradigms. The focus appears to be on development methodologies rather than programming paradigms.",maybe,yes,maybe,no
4.1 Qualitative Methodology 4.1.1 Qualitative Research Paradigms 4.1.4 Methods and Methodological Design,-,-,-,Exclude,EC2,"The paper is a methodological chapter about integrating qualitative and quantitative approaches in agent-based modeling, but it is not specifically focused on programming paradigms.",maybe,yes,no,no
Component Model Interoperability for Scientific Computing,2006,-,-,Exclude,EC1,"The dissertation addresses software component interoperability through a generative programming approach, presenting tools and techniques for bridging different component models. While the work demonstrates systematic methods for integration, it partially meet…",maybe,yes,maybe,maybe
Modular semantics for model-oriented design,2004,-,-,Exclude,EC1,"A comprehensive framework for integrating heterogeneous computational models is proposed, demonstrating strong capabilities in addressing paradigmatic compatibility through formal semantic approaches. The study systematically explores interactions between diff…",maybe,yes,yes,yes
Applying Modelling Paradigms to analyse Organisational problems,2006,-,-,Exclude,EC1,"The study explores three modeling paradigms (Econometrics, Agent-Based Modelling, and System Dynamics) with a focus on their compatibility and application to organizational analysis. While demonstrating strong alignment with multiple paradigm investigation and…",maybe,yes,yes,yes
Bridging model-based design for dependability and empirical observations,2007,-,-,Exclude,EC1,The paper doesn't explicitly address interactions between different programming paradigms. It focuses on model-driven architecture and fault analysis within a single paradigmatic approach.,maybe,yes,no,no
Analysis of Cognitive Models to Evaluate User Interfaces,2006,-,-,Exclude,EC2,"This is a research paper about cognitive models for user interface evaluation, not about paradigmatic compatibility or software measurement. It focuses on usability evaluation methods and cognitive architectures, rather than the target domain.",maybe,yes,no,no
Triune Continuum Paradigm,2002,-,https://doi.org/10.5075/EPFL-THESIS-2581,Exclude,EC1,"A thesis presenting a novel paradigm for object-oriented modeling that addresses multiple programming paradigms (UML and RM-ODP) with a focus on formal integration and theoretical foundations. While demonstrating strong potential in paradigmatic compatibility,…",maybe,yes,yes,yes
Diagnosing interoperability problems and debugging models by enhancing constraint satisfaction with case-based reasoning,2002,-,-,Exclude,EC2,"The paper presents primary research, but it focuses on interoperability testing of networking protocols rather than paradigmatic compatibility in programming. While it does involve multiple paradigms (CSP and OO), this isn't the type of paradigm integration th…",maybe,yes,maybe,no
Does-It-Work? Metrology for Functionality and Efficacy,2018,-,https://doi.org/10.1007/978-3-319-63026-7_4,Exclude,EC2,"The paper appears to be primary research developing a metrology for decision paradigms, but it is not clearly focused on paradigmatic compatibility between programming paradigms. Instead, it seems to focus on decision theory paradigms.",maybe,yes,no,no
Electronic Communications of the EASST Volume 21 ( 2009 ) Proceedings of the 3 rd International Workshop on Multi-Paradigm Modeling ( MPM 2009 ) DSL Composition for model-based test generation,2009,-,-,Exclude,EC1,"While the paper deals with multiple DSLs, it is not explicitly addressing different programming paradigms (e.g., object-oriented, functional, etc.). The focus is on DSL integration rather than paradigm integration.",maybe,yes,no,maybe
Quantitative Analysis of Model Transformations by Means of Metrics: A Generic Approach,2011,-,-,Exclude,EC2,"The paper presents primary research on model transformations and their quality assessment, but does not specifically focus on paradigmatic compatibility. It is more focused on model-driven engineering metrics.",maybe,yes,no,no
Multi-paradigm network modeling framework,2006,-,-,Exclude,EC1,"The dissertation presents a multi-paradigm network modeling framework with strong empirical validation and quantitative components, but its focus on network modeling paradigms rather than programming paradigms creates uncertainty about direct relevance to the …",maybe,yes,maybe,maybe
Uma avaliação empírica de métricas para programas orientados a objeto no contexto de teste de software,2012,-,-,Exclude,EC2,"This is primary research, but it focuses on software metrics and testing in object-oriented systems rather than paradigmatic compatibility. It does not investigate paradigm integration.",maybe,yes,no,no
On integrating triple graph grammars and OCL for model-driven development,2009,-,-,Exclude,EC1,"While the paper discusses different approaches (model-centric vs. code-centric), it does not specifically address programming paradigms like object-oriented, functional, or procedural programming.",maybe,yes,no,no
Electronic Communications of the EASST Volume 21 ( 2009 ) Proceedings of the 3 rd International Workshop on Multi-Paradigm Modeling ( MPM 2009 ) Concurrent Design of Embedded Control Software,2009,-,-,Exclude,EC1,"While the paper discusses integration of different system parts, it does not explicitly address different programming paradigms.",maybe,yes,no,no
Towards a Quantitative Framework for Evaluating the Expressive Power of Conceptual System Models,2016,-,https://doi.org/10.1002/j.2334-5837.2016.00144.x,Exclude,EC1,The paper focuses on OPM as a single paradigm and doesn't appear to address interactions between multiple paradigms.,maybe,yes,no,no
Querying paradigms for the web (פרדיגמות לשאילתות מעל מידע באינטרנט.),2008,-,-,Exclude,EC2,"The paper appears to be primary research, but it focuses on query paradigms for web data rather than programming paradigm compatibility, which is the core focus of the review.",maybe,yes,no,no
MDE 2.0 : Pragmatical formal model verification and other challenges,2012,-,-,Exclude,EC1,"The paper appears to focus primarily on MDE as a single paradigm, rather than interactions between multiple paradigms.",maybe,yes,no,maybe
Comparing integration effort and correctness of different merge approaches in version control systems,2016,-,-,Exclude,EC2,"This is primary research investigating code integration and merge approaches, but it does not specifically focus on paradigmatic compatibility. The study compares unstructured vs. semistructured merge approaches, which is related to but not directly focused on…",maybe,yes,no,no
Question-learn-test-feedback pattern to test emerging software construction paradigms,2010,-,-,Exclude,EC1,"A comprehensive habilitation thesis exploring software construction paradigms through a systematic question-learn-test-feedback pattern, addressing multiple programming paradigms with rigorous evaluation techniques. The study demonstrates strong potential for …",maybe,yes,yes,yes
Visual Interfaces for Model Mapping – Large Mapping Visualization,2012,-,-,Exclude,EC2,"The paper presents primary research on visualization techniques for model mapping, but does not specifically focus on paradigmatic compatibility. While it deals with integration, it's more about data model integration than programming paradigms.",maybe,yes,no,no
La Programmation Bayésienne d'un modèle computationnel intégrateur permet de comparer uniformément les différentes théories cognitives de la perception de la parole,2011,-,-,Exclude,EC2,"This is a theoretical paper about speech processing and Bayesian modeling of different theories in speech communication, and does not investigate paradigmatic compatibility in programming or software measurement.",maybe,yes,maybe,no
