Title,Authors,DOI,DOI link,Venue,Citation count,Year,Full-Text Accessibility,"Reasoning for ""Full-Text Accessibility""",Publication Language,"Reasoning for ""Publication Language""",Empirical Evidence,"Reasoning for ""Empirical Evidence""",Multiple Paradigms,"Reasoning for ""Multiple Paradigms""",Paradigmatic Compatibility Focus,"Reasoning for ""Paradigmatic Compatibility Focus""",Quantitative Components,"Reasoning for ""Quantitative Components""",Study Type,"Reasoning for ""Study Type""",Validation Methods,"Reasoning for ""Validation Methods""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score,Reason code,Reason note,ReasonCode,ReasonNote
Quality of Service Ranking by Quantifying Partial Compliance of Requirements,"Agustín E. Martinez-Suñé, Carlos López Pombo",10.1007/978-3-030-50029-0_12,https://doi.org/10.1007/978-3-030-50029-0_12,International Conference on Coordination Models and Languages,1,2020,maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, which is a common limitation in screening.",yes,"The paper is written in English, which meets the publication language criterion.",maybe,"The abstract suggests empirical work through implementation and analysis, but does not explicitly mention empirical data collection about paradigm integration.",no,"The paper does not explicitly address multiple programming paradigms. While it deals with service integration, it is more focused on QoS metrics than paradigmatic compatibility.",maybe,"The paper focuses on quantitative metrics for service compatibility and integration, but does not explicitly address programming paradigms. It is more focused on QoS and SLA compatibility.",yes,"The paper is heavily focused on quantitative metrics, QoS attributes, and formal analysis techniques, which aligns with the quantitative components criterion.",maybe,"The paper presents primary research on quantitative metrics and analysis techniques for software services, which is relevant to the study type criterion, even though it is not directly focused on paradigmatic compatibility.",maybe,"The abstract mentions implementation and analysis techniques, suggesting some form of validation, though specific validation methods are not explicitly detailed.",Exclude,"The abstract presents a technical paper on quantitative service metrics and QoS analysis, but does not directly address programming paradigm compatibility. While demonstrating strong quantitative and formal analysis techniques, the study falls short of the specific screening criteria focused on paradigmatic integration and compatibility. The research appears more aligned with service-level metrics than the targeted systematic review's core requirements.",2.9,EC1,"The paper does not explicitly address multiple programming paradigms. While it deals with service integration, it is more focused on QoS metrics than paradigmatic compatibility.",EC1,"The paper does not explicitly address multiple programming paradigms. While it deals with service integration, it is more focused on QoS metrics than paradigmatic compatibility."
Code Comprehension in a Multi-paradigm Environment: Background and Experimental Setup,"Daniël Floor, Rinse van Hees, Vadim Zaytsev",-,-,Seminar on Advanced Techniques and Tools for Software Evolution,0,2023,maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, which is a common limitation in screening.",yes,"The paper is written in English, which meets the publication language criterion.",maybe,"The study proposes to collect empirical data through interviews, but the abstract doesn't present actual empirical findings as it appears to be describing a planned study.",yes,"The study explicitly addresses two paradigms (object-oriented and functional programming), meeting the multiple paradigms criterion.",yes,"The study explicitly focuses on the relationship between code comprehension and multi-paradigm usage, specifically between object-oriented and functional programming paradigms, which meets the paradigmatic compatibility focus criterion.",maybe,"The abstract mentions capturing ""quantitative and qualitative data,"" indicating the study will include quantitative components, though specific measurements aren't detailed.",yes,"The paper appears to be primary research investigating paradigmatic compatibility, specifically focusing on code comprehension across different paradigms, which meets the study type criterion.",maybe,"The abstract describes an experimental setup using interviews to capture both quantitative and qualitative data, indicating the study includes validation methods. However, the actual validation results are not presented in the abstract as this appears to be a study proposal.",Exclude,"A research proposal exploring code comprehension across object-oriented and functional programming paradigms, utilizing an experimental design with interviews to capture quantitative and qualitative data. The study aims to investigate paradigmatic compatibility through systematic observation, addressing multiple programming paradigms with a structured methodological approach. While promising in its design, the abstract represents a planned study without presenting actual empirical results.",4,EC1,"A research proposal exploring code comprehension across object-oriented and functional programming paradigms, utilizing an experimental design with interviews to capture quantitative and qualitative data. The study aims to investigate paradigmatic compatibilit…",EC1,"A research proposal exploring code comprehension across object-oriented and functional programming paradigms, utilizing an experimental design with interviews to capture quantitative and qualitative data. The study aims to investigate paradigmatic compatibilit…"
Towards a Unifying Model Transformation Bus,"Maris Jukss, B. Barroca, Clark Verbrugge, H. Vangheluwe",-,-,GEMOC+MPM@MoDELS,0,2015,maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, which is a common limitation in screening.",yes,"The paper is written in English, which meets the publication language criterion.",maybe,"While the paper includes a demonstration, it is unclear from the abstract whether this includes systematic empirical observations about integration challenges.",yes,"The paper clearly addresses multiple paradigms through its focus on ""multi-paradigm modeling"" and heterogeneous tool integration.",yes,"The paper strongly meets this criterion, focusing on ""multi-paradigm modeling (MPM) techniques"" and tool interoperability between different APIs and modeling engines.",maybe,"The abstract does not explicitly mention quantitative measurements or metrics, and the focus appears to be more on the framework and its implementation.",yes,"The paper appears to be primary research investigating paradigmatic compatibility through model-driven engineering and multi-paradigm modeling (MPM), which meets the study type criterion.",maybe,"The abstract mentions ""demonstration"" of the framework, but it does not explicitly describe validation methods or empirical testing, creating some uncertainty about the depth of validation.",Exclude,"A multi-paradigm modeling framework addressing tool interoperability demonstrates strong alignment with paradigmatic compatibility research, focusing on integrating different programming paradigms through a model-driven approach. While the study shows promise in addressing heterogeneous modeling challenges, uncertainties remain regarding the depth of empirical validation and quantitative measurement components. The research proposes a systematic method for API-level tool integration across multiple programming paradigms.",4.3,EC1,"A multi-paradigm modeling framework addressing tool interoperability demonstrates strong alignment with paradigmatic compatibility research, focusing on integrating different programming paradigms through a model-driven approach. While the study shows promise …",EC1,"A multi-paradigm modeling framework addressing tool interoperability demonstrates strong alignment with paradigmatic compatibility research, focusing on integrating different programming paradigms through a model-driven approach. While the study shows promise …"
Integrating incompatible hardware and software systems,Ian Burchett,10.1145/1900008.1900038,https://doi.org/10.1145/1900008.1900038,ACM Southeast Regional Conference,0,2010,maybe,The full-text accessibility of the paper cannot be determined from the abstract alone.,yes,"The paper is written in English, meeting the language requirement.",maybe,"The paper includes a case study, suggesting some empirical evidence, but again, this is focused on hardware-software integration rather than paradigm integration.",no,"While the paper discusses integration between different systems (hardware and software), it doesn't specifically address programming paradigms as defined in the criteria.",no,"The paper focuses on hardware-software integration rather than programming paradigm compatibility. While it discusses integration challenges, these are not specifically about programming paradigms.",no,The abstract doesn't explicitly mention quantitative components or measurements. The focus appears to be more on design and development paradigms.,no,"The paper appears to be primary research investigating integration challenges, but it focuses on hardware-software integration rather than programming paradigm compatibility specifically, which is a significant mismatch with the intended focus.",maybe,"The abstract mentions a case study with a robot arm and SR4 robot, suggesting some empirical validation, but the details are limited.",Exclude,"The abstract describes hardware-software integration challenges, but fundamentally diverges from the screening criteria's focus on programming paradigm compatibility. While the study includes a case study and discusses system integration, it lacks specific elements related to programming paradigm interactions, quantitative metrics, or systematic evaluation of paradigmatic compatibility. Consequently, the paper does not align with the intended research scope.",2.5,EC2,"The paper appears to be primary research investigating integration challenges, but it focuses on hardware-software integration rather than programming paradigm compatibility specifically, which is a significant mismatch with the intended focus.",EC2,"The paper appears to be primary research investigating integration challenges, but it focuses on hardware-software integration rather than programming paradigm compatibility specifically, which is a significant mismatch with the intended focus."
Quality metrics for diversified similarity searching: What they stand for?,"Camila L. Lopes, Daniel L. Jasbick, M. Bedo, Lúcio F. D. Santos",10.5753/sbbd.2020.13620,https://doi.org/10.5753/sbbd.2020.13620,Brazilian Symposium on Databases,1,2020,maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, which is a common limitation in screening.",yes,"The paper is written in English, meeting the publication language criterion.",no,"The study includes empirical evidence, but not about programming paradigm integration. The evidence relates to search methods and diversity metrics.",no,"While the study does address multiple approaches, these are not programming paradigms but rather different search and clustering approaches.",no,"The paper does not focus on paradigmatic compatibility between programming paradigms. While it discusses ""different paradigms,"" these are search paradigms rather than programming paradigms. The focus is on diversity metrics and search approaches.",yes,"The study is heavily quantitative, including metrics, measurements, and empirical evaluations. However, these are not related to programming paradigms.",no,"The paper appears to be primary research, but it focuses on diversity-oriented searches and metrics rather than paradigmatic compatibility specifically. While it mentions ""different paradigms,"" these refer to search approaches rather than programming paradigms.",yes,"The study includes empirical testing and validation through ""experiments in real-world datasets"" and ""empirical evaluations.""",Exclude,"The abstract describes a study on diversity-oriented search methods and metrics, which fundamentally differs from the systematic review's focus on programming paradigm compatibility. Despite being a rigorous research paper with empirical validation and quantitative components, the work does not address interactions between programming paradigms or their integration. Consequently, the paper does not meet the core screening criteria for the systematic review.",1.4,EC2,"The paper appears to be primary research, but it focuses on diversity-oriented searches and metrics rather than paradigmatic compatibility specifically. While it mentions ""different paradigms,"" these refer to search approaches rather than programming paradigms…",EC2,"The paper appears to be primary research, but it focuses on diversity-oriented searches and metrics rather than paradigmatic compatibility specifically. While it mentions ""different paradigms,"" these refer to search approaches rather than programming paradigms…"
CAMBIO DE PARADIGMAS: IMPLICACIONES PARA EL ACERCAMIENTO AL CONOCIMIENTO CIENTÍFICO,Natalia Bondarenko Prisemskaya,-,-,-,1,2002,maybe,The full-text accessibility of the paper cannot be determined from the abstract alone.,yes,"The paper is available in both Spanish and English, meeting the publication language criterion.",no,The abstract does not indicate any empirical data or systematic observations. It appears to be a theoretical discussion of paradigm evolution and integration.,yes,"The paper does address multiple paradigms (quantitative and qualitative), but not in the context of programming paradigms.",no,"While the paper discusses paradigms, it focuses on scientific research paradigms (quantitative vs qualitative) rather than programming paradigms. There is no mention of formal models or metrics for paradigmatic compatibility.",no,"While the paper discusses quantitative methodology, it does not appear to include quantitative measurements or systematic observations itself.",no,"This appears to be a theoretical/philosophical discussion about scientific paradigms in general, not primary research about programming paradigm compatibility or a systematic review of software measurement.",no,"The abstract does not mention any validation methods, empirical testing, or systematic evaluation. It appears to be a conceptual discussion.",Exclude,"The document discusses scientific research paradigms rather than programming paradigms, lacking empirical validation, quantitative measurements, or systematic observations about software integration. While addressing multiple paradigms conceptually, the text fails to meet the specific screening criteria related to programming paradigm compatibility, empirical evidence, and quantitative analysis. The philosophical discussion of scientific methodology does not align with the required focus on programming paradigm research.",1.4,EC2,"This appears to be a theoretical/philosophical discussion about scientific paradigms in general, not primary research about programming paradigm compatibility or a systematic review of software measurement.",EC2,"This appears to be a theoretical/philosophical discussion about scientific paradigms in general, not primary research about programming paradigm compatibility or a systematic review of software measurement."
Marco de Integración de Paradigmas Tecnológicos hacia una Web Semántica Distribuida basada en la Gestión de Procesos (Integration Framework of Technological Paradigms Towards a Distributed Semantic Web based on Process Management),Carlos Alberto Pereira-Marín,-,-,-,0,2018,maybe,The abstract does not provide enough information to determine the full-text accessibility of the paper.,yes,"The paper is available in both Spanish and English, meeting the publication language criterion.",maybe,"While the abstract mentions ""results,"" it does not clearly indicate whether these are based on empirical data or systematic observations.",yes,"The paper clearly addresses multiple paradigms, specifically mentioning business process management, service-oriented architecture, and ontologies.",yes,"The paper directly addresses paradigmatic compatibility, focusing on integrating different technological paradigms including business process management, service-oriented architecture, and ontologies.",maybe,The abstract does not explicitly mention quantitative components or measurements. The focus appears more conceptual and methodological.,yes,"The paper appears to be primary research investigating paradigm integration, specifically focusing on integrating different technological paradigms for semantic web applications.",maybe,"The abstract mentions ""results of this research"" but does not explicitly describe validation methods or empirical testing, so the validation methods are unclear from the abstract.",Exclude,"The study demonstrates strong alignment with paradigm integration research, addressing multiple technological paradigms and proposing a methodological approach for semantic web application development. While the paper meets key criteria related to paradigmatic compatibility and multiple paradigm interactions, significant uncertainties exist regarding empirical validation, quantitative components, and full-text accessibility. The research appears conceptually robust but lacks clear evidence of systematic testing or measurement.",3.5,EC1,"The study demonstrates strong alignment with paradigm integration research, addressing multiple technological paradigms and proposing a methodological approach for semantic web application development. While the paper meets key criteria related to paradigmatic…",EC1,"The study demonstrates strong alignment with paradigm integration research, addressing multiple technological paradigms and proposing a methodological approach for semantic web application development. While the paper meets key criteria related to paradigmatic…"
Multimodal System Design Integration Using Category Theory,"Yaniv Mordecai, A. Engel",10.1109/SysCon53073.2023.10131062,https://doi.org/10.1109/SysCon53073.2023.10131062,IEEE Systems Conference,0,2023,maybe,The full-text accessibility of the paper cannot be determined from the abstract alone.,yes,"The paper is written in English, meeting the language requirement.",maybe,"The paper includes a case study of a passenger counting system, but this appears to be more about systems engineering than programming paradigm integration.",no,"While the paper discusses multiple design disciplines and integration, it doesn't specifically address programming paradigms. The focus is on systems engineering and design methodologies.",no,"While the paper discusses integration and compatibility, it focuses on systems engineering and design methodologies rather than programming paradigms. The use of Category Theory is mathematical but not specifically about programming paradigms.",yes,"The paper appears to include formal mathematical components (Category Theory) and systematic observations, meeting this criterion.",no,"The paper appears to be primary research proposing a method (CMD) for integration, but it is focused on systems engineering rather than programming paradigms specifically, which is a significant deviation from the intended focus.",maybe,"The abstract mentions application to a passenger counting system case study, suggesting some empirical validation, though details are limited.",Exclude,"The abstract describes a systems engineering methodology focused on design integration, but diverges significantly from the screening criteria's emphasis on programming paradigms. While demonstrating mathematical rigor and a case study approach, the paper lacks direct engagement with programming paradigm compatibility or integration. Consequently, the work does not align sufficiently with the systematic review's core requirements.",2.7,EC2,"The paper appears to be primary research proposing a method (CMD) for integration, but it is focused on systems engineering rather than programming paradigms specifically, which is a significant deviation from the intended focus.",EC2,"The paper appears to be primary research proposing a method (CMD) for integration, but it is focused on systems engineering rather than programming paradigms specifically, which is a significant deviation from the intended focus."
Programming Language Adoption as an Epidemiological Phenomenon,"E. Barreiros, Jones O. Albuquerque, J. P. L. D. Oliveira, Helaine Lins, S. Soares",10.1145/3131151.3131188,https://doi.org/10.1145/3131151.3131188,Brazilian Symposium on Software Engineering,0,2017,maybe,The full-text accessibility of the paper cannot be determined from the abstract alone.,yes,"The paper is written in English, meeting this criterion.",maybe,"While the paper proposes mathematical modeling, it is unclear whether it includes empirical data about integration challenges, as the focus appears to be on adoption patterns rather than interoperability.",maybe,"The paper discusses programming languages broadly but does not specifically address interactions between different programming paradigms, so this criterion is not clearly met.",no,"The paper focuses on programming language adoption patterns rather than paradigmatic compatibility or integration, which is a critical mismatch with the criterion.",yes,"The paper does include quantitative components through mathematical modeling, meeting this criterion.",no,"The paper appears to be primary research proposing a mathematical model for programming language adoption, but it does not specifically focus on paradigmatic compatibility, instead focusing on adoption patterns. This is a significant mismatch with the criterion.",maybe,"The abstract mentions ""mathematically modeled"" but does not explicitly describe validation methods or empirical testing, so it is unclear whether this criterion is met.",Exclude,"The abstract describes a mathematical modeling approach to programming language adoption, but fails to meet key screening criteria related to paradigmatic compatibility and integration. While the study includes quantitative components and is in English, it lacks clear evidence of empirical validation, paradigm interactions, or systematic evaluation of programming paradigm compatibility. The research appears fundamentally misaligned with the systematic review's core focus on paradigm integration.",2.7,EC2,"The paper appears to be primary research proposing a mathematical model for programming language adoption, but it does not specifically focus on paradigmatic compatibility, instead focusing on adoption patterns. This is a significant mismatch with the criterio…",EC2,"The paper appears to be primary research proposing a mathematical model for programming language adoption, but it does not specifically focus on paradigmatic compatibility, instead focusing on adoption patterns. This is a significant mismatch with the criterio…"
"ModHel'X, un outil expérimental pour la modélisation multi-paradigmes","C. Jacquet, Cécile Hardebolle, F. Boulanger",-,-,-,0,2014,maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, but I notes that being a formal research paper, it likely has accessible full text.",yes,"The paper is written in French, which meets the language criterion.",maybe,"While the paper describes a tool (ModHel'X) and mentions simulation, it's not entirely clear from the abstract how much empirical data is included.",yes,"The paper explicitly focuses on multi-paradigm modeling (""modelisation multi-paradigmes"") and integration between different formalisms.",yes,"The paper directly addresses paradigmatic compatibility through its focus on multi-paradigm modeling and semantic adaptation between different formalisms (""adaptation semantique à la frontière entre deux formalismes"").",yes,The paper includes quantitative components through its formal modeling approach and simulation capabilities.,yes,"The paper appears to be primary research investigating paradigmatic compatibility, specifically focusing on multi-paradigm modeling and integration.",yes,"The paper includes simulation (""simuler le comportement"") as a validation method for their approach.",Include,"A French-language research paper exploring multi-paradigm modeling with a novel tool (ModHel'X) that systematically addresses paradigmatic compatibility through semantic adaptation and simulation. The study demonstrates strong alignment with screening criteria by focusing on integrating different modeling formalisms, proposing a quantitative approach to paradigm integration, and including validation methods. While some uncertainties exist regarding empirical depth, the paper's core methodology and focus on multi-paradigm modeling make it highly relevant to the research objectives.",4.6,IC,"Meets IC; multi-paradigm, compatibility focus, quantitative component, validation method, research contribution, supported language.",IC,"Meets IC; multi-paradigm, compatibility focus, quantitative component, validation method, research contribution, supported language."
A Real-Time Analysis of Human Performance in Interactive and Adaptive Mixed-Reality Simulation,"Inki Kim, Mukhilshankar Umashankar",-,-,"IEEE/ACM International Conference on Connected Health: Applications, Systems and Engineering Technologies",0,2022,maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, but this is typically not a disqualifying factor at this stage.",yes,"The paper is written in English, which meets the publication language criterion.",no,"While the study includes empirical data, it is about human performance metrics rather than programming paradigm integration, so it does not meet this criterion.",no,"The paper does not address interactions between programming paradigms, so it does not meet this criterion.",no,"The paper does not address paradigmatic compatibility or integration between programming paradigms. It focuses on human performance modeling in mixed reality simulations, so it does not meet this criterion.",no,"The study includes quantitative components and measurements, but not related to programming paradigms, so it does not meet this criterion.",no,"The paper is primary research, but it focuses on human performance modeling and mixed reality simulation rather than paradigmatic compatibility, so it does not meet this criterion.",yes,"The study includes validation through statistical analysis of performance data from eleven subjects over two sessions, which meets the validation methods criterion, but it is not focused on the right topic.",Exclude,"The research paper focuses on human performance modeling in mixed reality simulations, which fundamentally diverges from the systematic review's core criteria of programming paradigm compatibility. Despite demonstrating rigorous empirical methodology and quantitative analysis, the study fails to address interactions between programming paradigms, rendering it non-compliant with the essential screening requirements. Consequently, the paper does not meet the critical screening criteria for inclusion in the systematic review.",1.4,EC2,"The paper is primary research, but it focuses on human performance modeling and mixed reality simulation rather than paradigmatic compatibility, so it does not meet this criterion.",EC2,"The paper is primary research, but it focuses on human performance modeling and mixed reality simulation rather than paradigmatic compatibility, so it does not meet this criterion."
Rethinking process improvement: from diffusion to translation,"Rima Al Hasan, Pietro Micheli",10.1108/ijopm-05-2024-0360,https://doi.org/10.1108/ijopm-05-2024-0360,International Journal of Operations &amp; Production Management,0,2025,maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, but it is likely accessible given that it appears to be a formal academic paper.",yes,"The paper is written in English, which meets the publication language criterion.",no,"The study includes empirical evidence from case studies, but again, not related to programming paradigms, and therefore does not meet the empirical evidence criterion.",no,"The study does address multiple paradigms (lean, Six Sigma, TQM), but these are management paradigms, not programming paradigms, and therefore do not meet the multiple paradigms criterion.",no,"While the paper discusses paradigmatic compatibility, it is in the context of management/organizational process improvement (lean, Six Sigma, TQM) rather than programming paradigms, and therefore does not meet the paradigmatic compatibility focus criterion.",maybe,"The abstract does not explicitly mention quantitative components, though the case studies might include some, so the quantitative components criterion is unclear.",no,"While this is primary research, it focuses on process improvement paradigms in management/organizational contexts, not programming paradigms or software measurement, and therefore does not meet the study type criterion.",yes,"The study includes empirical validation through ""two empirical case studies in a pharmaceutical and an automotive firm,"" which meets the validation methods criterion.",Exclude,"The abstract describes a study on process improvement paradigms in management contexts, which fundamentally differs from programming paradigms. Despite meeting some methodological criteria like empirical validation and multiple paradigm analysis, the paper's core focus on organizational process improvement renders it incompatible with the systematic review's specific requirements for programming paradigm research. Consequently, the paper does not align with the essential screening criteria and should be excluded from further consideration.",1.4,EC2,"While this is primary research, it focuses on process improvement paradigms in management/organizational contexts, not programming paradigms or software measurement, and therefore does not meet the study type criterion.",EC2,"While this is primary research, it focuses on process improvement paradigms in management/organizational contexts, not programming paradigms or software measurement, and therefore does not meet the study type criterion."
MCP-RADAR: A Multi-Dimensional Benchmark for Evaluating Tool Use Capabilities in Large Language Models,"Xuanqi Gao, Siyi Xie, Juan Zhai, Shqing Ma, Chao Shen",10.48550/arXiv.2505.16700,https://doi.org/10.48550/arXiv.2505.16700,arXiv.org,0,2025,yes,"The paper appears to be accessible, with a public repository link provided.",yes,"The paper is written in English, meeting the language requirement.",yes,The study includes systematic empirical observations and evaluations across multiple task domains.,maybe,"While the paper addresses integration between different systems, it doesn't specifically focus on programming paradigms. It's more about LLM-tool integration.",maybe,"The paper focuses on tool integration and compatibility, but not specifically between programming paradigms. It's more about LLM-tool integration.",yes,"The paper has a strong quantitative focus with ""objective, quantifiable measurements"" across multiple dimensions.",maybe,"While the paper is primary research, it focuses on evaluating LLM performance in tool integration rather than specifically investigating paradigmatic compatibility. However, it does address integration between different systems (LLMs and tools).",yes,"The study includes clear validation methods through a ""five-dimensional approach"" with specific metrics and empirical testing of multiple LLMs.",Exclude,"The study demonstrates strong empirical and quantitative research methods with comprehensive validation techniques, but diverges from the specific focus on programming paradigm compatibility. While addressing integration and tool interaction, the research primarily explores Large Language Model performance rather than direct paradigmatic interactions. The methodology shows rigorous scientific approach, yet falls short of the precise screening criteria related to programming paradigm integration.",3.2,EC1,"The study demonstrates strong empirical and quantitative research methods with comprehensive validation techniques, but diverges from the specific focus on programming paradigm compatibility. While addressing integration and tool interaction, the research prim…",EC1,"The study demonstrates strong empirical and quantitative research methods with comprehensive validation techniques, but diverges from the specific focus on programming paradigm compatibility. While addressing integration and tool interaction, the research prim…"
On marrying ontological and metamodeling technical spaces,"Fernando Silva Parreiras, Steffen Staab, Andreas Winter",10.1145/1287624.1287687,https://doi.org/10.1145/1287624.1287687,ESEC-FSE '07,0,2007,maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, which is a common limitation in screening.",yes,"The paper is written in English, which meets the publication language criterion.",no,"The abstract suggests the paper is primarily a theoretical analysis rather than an empirical study, and does not mention any systematic observations or empirical data, indicating a lack of empirical evidence.",yes,"The paper explicitly addresses multiple paradigms (metamodeling and ontology approaches) and their integration, which meets the multiple paradigms criterion.",yes,"The paper directly addresses compatibility between metamodeling and ontology paradigms, including formal models (MDA, MOF/UML, OWL) and their integration, which meets the paradigmatic compatibility focus criterion.",no,"The abstract does not indicate any quantitative measurements or systematic observations, suggesting the paper lacks quantitative components.",yes,"The paper appears to be a primary research study investigating paradigmatic compatibility between metamodeling and ontology approaches, which meets the study type criterion.",no,"The abstract does not explicitly mention validation methods or empirical testing, suggesting the paper lacks these components.",Exclude,"The study explores paradigmatic compatibility between metamodeling and ontology approaches, demonstrating strong theoretical alignment with multiple paradigm integration. However, the research lacks empirical validation, quantitative measurements, and systematic evidence, which significantly limits its methodological rigor and comprehensive assessment of paradigmatic interactions.",3.2,EC6,"The abstract does not indicate any quantitative measurements or systematic observations, suggesting the paper lacks quantitative components.",EC6,"The abstract does not indicate any quantitative measurements or systematic observations, suggesting the paper lacks quantitative components."
Model-driven integration of software and service components,"Barrett R. Bryant, Wei Zhao",-,-,-,0,2006,maybe,"The paper appears to be a dissertation, which typically has accessible full text through academic channels, but this cannot be confirmed from the abstract alone.",yes,"The paper is written in English, meeting this criterion.",no,The abstract doesn't clearly indicate whether empirical data or systematic observations about integration challenges are included. The focus seems more theoretical and methodological.,no,"While the paper discusses different types of components and services, it doesn't explicitly address different programming paradigms. The focus is more on integration approaches than paradigmatic differences.",no,"While the paper discusses integration of components and services, it doesn't explicitly focus on paradigmatic compatibility. The integration discussed is more about technical composition than paradigmatic compatibility.",maybe,"The paper includes some quantitative aspects (e.g., ""generates BPEL code of size On)""() and systematic observations, meeting this criterion partially.",maybe,"The paper presents primary research on component integration, but focuses more on model-driven approaches rather than paradigmatic compatibility specifically. While it deals with integration, it's not clearly focused on paradigm integration.",maybe,"The abstract mentions validation capabilities and analysis, particularly for the REL framework and TLG++ approach, but it's not clear if these include empirical testing or systematic evaluation of the findings.",Exclude,"The dissertation focuses on model-driven integration approaches for software components, but does not directly address paradigmatic compatibility or integration between programming paradigms. While the study includes technical integration methods and some quantitative components, it lacks clear empirical evidence and explicit discussion of multiple programming paradigms. The research appears more oriented towards technical composition and model-driven approaches rather than paradigmatic compatibility.",2.9,EC1,"While the paper discusses different types of components and services, it doesn't explicitly address different programming paradigms. The focus is more on integration approaches than paradigmatic differences.",EC1,"While the paper discusses different types of components and services, it doesn't explicitly address different programming paradigms. The focus is more on integration approaches than paradigmatic differences."
Knowledge Transfer Between Languages and Paradigms,"Deborah J. Armstrong, H. Nelson",-,-,-,2,2000,maybe,The full-text accessibility of the paper cannot be determined from the abstract alone.,yes,"The paper is written in English, meeting the language requirement.",no,"The paper appears to rely on ""anecdotal evidence"" rather than systematic empirical data about paradigm integration challenges.",maybe,"While paradigm shifts are discussed, the abstract doesn't explicitly indicate whether multiple programming paradigms are addressed in detail.",no,"While the paper discusses paradigm shifts, it focuses on personnel training and skill transfer rather than formal models or metrics for paradigmatic compatibility. The Osgood transfer surface is applied, but for training purposes.",no,"The paper proposes a model, but the abstract doesn't indicate whether it includes quantitative measurements or systematic observations. The evidence appears to be primarily anecdotal.",maybe,"The paper appears to be primary research, but it focuses on personnel training and skill transfer rather than paradigmatic compatibility specifically. It does address paradigm shifts, but from a training perspective.",no,"The paper relies on ""anecdotal evidence"" rather than robust validation methods or empirical testing, which is a significant weakness.",Exclude,"The study primarily addresses personnel training during paradigm shifts, with limited focus on paradigmatic compatibility and lacking robust empirical validation. While proposing a theoretical model for skill transfer, the research relies on anecdotal evidence and does not comprehensively explore quantitative metrics or systematic observations of programming paradigm interactions. The paper's scope appears more oriented toward training strategies than rigorous paradigm integration analysis.",2.7,EC1,"While paradigm shifts are discussed, the abstract doesn't explicitly indicate whether multiple programming paradigms are addressed in detail.",EC1,"While paradigm shifts are discussed, the abstract doesn't explicitly indicate whether multiple programming paradigms are addressed in detail."
Computational modeling for improving usability design workflow,"Xiangyang Li, Melih Gunal, J. Shiau",10.1109/ICNSC.2009.4919359,https://doi.org/10.1109/ICNSC.2009.4919359,"International Conference on Networking, Sensing and Control",0,2009,maybe,The full-text accessibility of the paper cannot be determined from the abstract alone.,yes,"The paper is written in English, meeting the language requirement.",no,"While the study includes empirical evidence, it's not related to programming paradigm integration. The evidence is about user interface design and cognitive modeling.",no,"The paper does not address interactions between programming paradigms. While it mentions different ""design variables"" and ""visual search strategies,"" these are not programming paradigms.",no,"The paper does not address paradigmatic compatibility or integration between programming paradigms. Instead, it focuses on cognitive modeling for user interface design.",maybe,"The study includes quantitative components through cognitive modeling and empirical testing, but not in the context of programming paradigms.",no,"The paper is primary research, but it focuses on cognitive modeling for usability design rather than investigating paradigmatic compatibility or software measurement.",yes,"The study includes empirical testing and validation through ""empirical experiments"" and ""human subjects"" testing.",Exclude,"The abstract describes a cognitive modeling study for user interface design that does not address programming paradigm compatibility or integration. Despite including empirical methods and quantitative components, the research fundamentally diverges from the specified screening criteria focused on paradigmatic interactions. Consequently, the paper fails to meet the core requirements for inclusion in the review.",1.4,EC2,"The paper is primary research, but it focuses on cognitive modeling for usability design rather than investigating paradigmatic compatibility or software measurement.",EC2,"The paper is primary research, but it focuses on cognitive modeling for usability design rather than investigating paradigmatic compatibility or software measurement."
