Title,Authors,DOI,DOI link,Venue,Citation count,Year
Darwinian Model Upgrades: Model Evolving with Selective Compatibility,"Binjie Zhang, Shupeng Su, Yixiao Ge, Xuyuan Xu, Yexin Wang, Chun Yuan, Mike Zheng Shou, Ying Shan",10.48550/arXiv.2210.06954,https://doi.org/10.48550/arXiv.2210.06954,AAAI Conference on Artificial Intelligence,4,2022
CONCEPTUAL MODELLING AND THE QUALITY OF ONTOLOGIES : A COMPARISON BETWEEN OBJECT-ROLE MODELLING AND THE OBJECT PARADIGM,"Mohammad Mourhaf al Asswad, Mutaz M. Al-Debei, Sergio de Cesare, M. Lycett",-,-,-,11,2010
Assessing Web Services Interfaces with Lightweight Semantic Basis,"Martin Garriga, A. D. Renzis, A. Flores, A. Cechich, Alejandro Zunino",10.4149/cai_2017_5_1173,https://doi.org/10.4149/cai_2017_5_1173,Computing and informatics,4,2017
Supporting modelers with model qualities and patterns,Fabrice Boissier,10.1109/RCIS.2017.7956573,https://doi.org/10.1109/RCIS.2017.7956573,Research Challenges in Information Science,2,2017
A Multi-paradigm Complexity Metric (MCM),"S. Misra, I. Akman, Ferid Cafer",10.1007/978-3-642-21934-4_28,https://doi.org/10.1007/978-3-642-21934-4_28,Communication Systems and Applications,2,2011
Proposing a Paradigm for e-Collaboration,"Gang Chen, Waiman Cheung, Sung-Chi Chu, W. Wong",-,-,-,3,2003
Performance model’s development: a novel approach encompassing ontology-based data access and visual analytics,"M. Angelini, C. Daraio, M. Lenzerini, F. Leotta, G. Santucci",10.1007/s11192-020-03689-x,https://doi.org/10.1007/s11192-020-03689-x,Scientometrics,4,2020
Magdeburg The METRICS NEWS can be ordered directly from the Editorial Office,"R. Dumke, C. Ebert, E. Rudolph, H. Zuse, C. Ebert, E. Rudolph, H. Zuse",-,-,-,0,2001
Model Transformation Reuse: A Graph-based Model Typing Approach. (Réutilisation de transformation de modèle : une approche de typage de modèle basée sur les graphes),Q. Pham,-,-,-,5,2012
Quantitative Evaluation of Pairwise Interactions between Agents,"Takahiro Kawamura, S. Joseph, Akihiko Ohsuga, S. Honiden",10.1007/978-3-540-45347-5_16,https://doi.org/10.1007/978-3-540-45347-5_16,ASA/MA,8,2000
Foundations of multi-paradigm modeling and simulation: a meta-theoretic approach to modeling and simulation,M. Traoré,-,-,Online World Conference on Soft Computing in Industrial Applications,4,2003
A Research Paradigm for Multi-Human Decision Making,"D. Kleinman, D. Serfaty, P. Luh",10.23919/ACC.1984.4788346,https://doi.org/10.23919/ACC.1984.4788346,American Control Conference,13,1984
Dagstuhl Seminar 9538 New Trends in the Intergration of Paradigms,Chris Hankin,-,-,-,0,1995
Integrating Formalized User Experience within Building Design Models,"Debajyoti Pati, G. Augenbroe",10.1111/j.1467-8667.2006.00474.x,https://doi.org/10.1111/j.1467-8667.2006.00474.x,Comput. Aided Civ. Infrastructure Eng.,4,2007
Semantic interoperability and retrieval paradigms,Felix Boteram,-,-,-,1,2011
Complexity and Development Effort Prediction Models Using Component Oriented Metrics,"Nael Salman, A. Dogru",-,-,-,3,2006
Combining Independent Specifications,"J. N. Reed, J. Sinclair",10.1007/3-540-45314-8_5,https://doi.org/10.1007/3-540-45314-8_5,Fundamental Approaches to Software Engineering,6,2001
Assessing composition in modeling approaches,"G. Mussbacher, Omar Alam, Mohammad Alhaj, Shaukat Ali, N. Amálio, B. Barn, Rolv Bræk, T. Clark, B. Combemale, L. M. Cysneiros, U. Fatima, R. France, Geri Georg, Jennifer Horkoff, J. Kienzle, Julio Cesar Sampaio do Prado Leite, T. Lethbridge, Markus Luckey, A. Moreira, Felix Mutz, A. P. A. Oliveira, D. Petriu, Matthias Schöttle, L. Troup, Vera Werneck",10.1145/2459031.2459032,https://doi.org/10.1145/2459031.2459032,CMA '12,12,2012
A Model for Integrating Knowledge into Component-Based Software Development,"A. C. Río, Jose Emilio Labra Gayo, J. M. C. Lovelle",-,-,-,8,2001
A New Search Paradigm for Natural Language Code Search,"Miltos Allamanis, Daniel Tarlow, Andrew Gordon, Uri Alon, Shaked Brody, Omer Levy, Eran Ya-540, S. Bajracharya, T. Ngo, Erik Linstead, J. Devlin, Ming-Wei Chang, Kenton Lee, Daya Guo, Shuo Ren, Shuai Lu, Zhangyin Feng, Duyu",-,-,-,2,2021
Mappings Between Domain Models in Answer Set Programming,"S. Costantini, A. Formisano, E. Omodeo",-,-,ASp,2,2003
In Search of a New Paradigm for Functional Magnetic Resonance Experimentation With Language,"Maria Eugênia Arantes, F. Cendes",10.3389/fneur.2020.00588,https://doi.org/10.3389/fneur.2020.00588,Frontiers in Neurology,0,2020
An Information-Theoretic Account of Semantic Interference in Word Production,Richard Futrell,10.3389/fpsyg.2021.672408,https://doi.org/10.3389/fpsyg.2021.672408,Frontiers in Psychology,3,2020
A DSM-based multi-paradigm simulation modeling approach for complex systems,"Xiaobo Li, Yonglin Lei, Weiping Wang, Wenguang Wang, Yifan Zhu",10.1109/WSC.2013.6721506,https://doi.org/10.1109/WSC.2013.6721506,Online World Conference on Soft Computing in Industrial Applications,10,2013
Theme issue on Integrated Formal Methods,"E. Johnsen, L. Petre",10.1007/s10270-015-0510-0,https://doi.org/10.1007/s10270-015-0510-0,Journal of Software and Systems Modeling,0,2015
Programming paradigms and program comprehension by novices,"J. Moström, D. A. Carr",-,-,Annual Workshop of the Psychology of Programming Interest Group,9,1998
Theme issue on Integrated Formal Methods,"E. Johnsen, L. Petre",10.1007/s10270-015-0510-0,https://doi.org/10.1007/s10270-015-0510-0,Journal of Software and Systems Modeling,0,2016
A Categorical Model of Process Co-Simulation,"Daniel-Cristian Craciunean, D. Karagiannis",10.14569/ijacsa.2019.0100355,https://doi.org/10.14569/ijacsa.2019.0100355,International Journal of Advanced Computer Science and Applications,4,2019
Programming Paradigms as Object Classes: A Structuring Mechanism for Multiparadigm Programming,D. Spinellis,-,-,-,9,2002
SOFTWARE COMPONENT COMPLEXITY MEASUREMENT THROUGHPROPOSED INTEGRATION METRICS,"Latika, V. Rathore",-,-,-,6,2011
Semantic Web and Geospatial Unique Features Based Geospatial Data Integration,"Ying Zhang, Chaopeng Li, Na Chen, Shaowen Liu, Liming Du, Zhuxiao Wang, Miaomiao Ma",10.4018/IJSWIS.2016010101,https://doi.org/10.4018/IJSWIS.2016010101,International Journal on Semantic Web and Information Systems (IJSWIS),4,2016
Designing Interaction Paradigms for Web-Information Search and Retrieval,"Yahsin. Hsu, N. Moon, Rahul Singh",10.1109/WI.2006.58,https://doi.org/10.1109/WI.2006.58,International Conference on Wirtschaftsinformatik,4,2006
Measuring morphological canonicity,Géraldine Walther,10.4312/LINGUISTICA.51.1.157-180,https://doi.org/10.4312/LINGUISTICA.51.1.157-180,-,8,2011
Taming Multi-Paradigm Integration in a Software Architecture Description Language,"D. Balasubramanian, T. Levendovszky, Abhishek Dubey, G. Karsai",-,-,MPM@MoDELS,6,2014
Mental Models: A Fifth Paradigm?,"T. Higgins, M. Chignell",10.1177/154193128803200231,https://doi.org/10.1177/154193128803200231,-,3,1988
Validating models of target acquisition performance in the dismounted soldier context,"M. Glaholt, R. K. Wong, J. G. Hollands",10.1117/12.2304607,https://doi.org/10.1117/12.2304607,Defense + Security,0,2018
Analytical aspects of combining holistic evaluation and decomposition elicitation for preference modeling in the FITradeoff method,"J. A. de Almeida, E. Frej, Lucia Reis Peixoto Roselli, A. T. de Almeida",10.1111/itor.13470,https://doi.org/10.1111/itor.13470,International Transactions in Operational Research,2,2024
From Objects to Components: a Quantitative Experiment,"M. Goulão, Fernando Brito",-,-,-,3,2000
Feedback density and causal complexity of simulation model structure,"A. Naugle, Stephen J Verzi, Kiran Lakkaraju, L. Swiler, C. Warrender, Michael Bernard, Vicente Romero",10.1080/17477778.2021.1982653,https://doi.org/10.1080/17477778.2021.1982653,J. Simulation,7,2021
Language-agnostic multi-paradigm code quality assurance framework,Marnick Q. T. P. van der Arend,-,-,BElgian-NEtherlands software eVOLution symposium,1,2022
Integration Testing Prior to Unit Testing: A Paradigm Shift in Object Oriented Software Testing of Agile Software Engineering,"S. Shahabuddin, Y. Prasanth",10.17485/IJST/2016/V9I20/91223,https://doi.org/10.17485/IJST/2016/V9I20/91223,-,9,2016
A Comparison of Predictions and Data for a Model of Two Automatic Responses in Stimulus-Response Compatibility,A. Ghozlan,10.2466/pms.2000.91.3f.1120,https://doi.org/10.2466/pms.2000.91.3f.1120,Perceptual and Motor Skills,0,2000
Perceptual representations in L1 and L2 spatial and abstract language processing: applying an innovative sentence-diagram verification paradigm,"Menghan Wang, Helen Zhao",10.3389/fnhum.2024.1425576,https://doi.org/10.3389/fnhum.2024.1425576,Frontiers in Human Neuroscience,0,2024
Transforming Meta-design from Paradigm to Working Theory,D. Tetteroo,10.1007/978-3-030-24781-2_18,https://doi.org/10.1007/978-3-030-24781-2_18,International Symposium on End-User Development,1,2019
Modeling and Realizing Interoperability,"Manfred Jeusfeld, W. Heuvel, J. Hoppenbrouwers, Kees Leune, M. Papazoglou, H. Weigand, Jian Yang",-,-,CAiSE Workshops,2,2004
Systematizing Modeler Experience (MX) in Model-Driven Engineering Success Stories,"Reyhaneh Kalantari, Julian Oertel, Joeri Exelmans, Satrio Adi Rukmono, Vasco Amaral, Matthias Tichy, Katharina Juhnke, J. Steghöfer, S. Abrahão",10.1007/s10270-024-01194-w,https://doi.org/10.1007/s10270-024-01194-w,Journal of Software and Systems Modeling,0,2024
CodePlex: Software Complexity Measuring Tool based on ECB Measure,"Dharmathilake K. A. D. K. D, Nuwanthika P. G. P. J., Fernando N. K. B., Bhanuka H. L.",10.31033/ijemr.13.5.8,https://doi.org/10.31033/ijemr.13.5.8,International Journal of Engineering and Management Research,0,2023
A model for multiparadigm systems,"Brendan Machado, K. M. George",10.1145/327164.327265,https://doi.org/10.1145/327164.327265,International Conference on Scientific Computing,0,1991
The HoneyComb Paradigm for Research on Collective Human Behavior.,"M. Boos, Johannes Pritz, M. Belz",10.3791/58719,https://doi.org/10.3791/58719,Journal of Visualized Experiments,5,2019
An ontology-based domain model to enhance the software development process,"M. Alias, D. D. H. Miriam, C. Robin",10.1504/IJMSO.2014.063132,https://doi.org/10.1504/IJMSO.2014.063132,Int. J. Metadata Semant. Ontologies,1,2014
Flexibilité et variabilité des modes d'intégration sensorielle : une illustration de la nécessaire adaptation de nos paradigmes expérimentaux aux évolutions théoriques récentes,"Joëlle Rouhana, P. Boulinguez",10.3917/SM.064.0049,https://doi.org/10.3917/SM.064.0049,-,1,2008
"Integration of Software Packages with Different Programming Paradigms , Exemplified by a Ship Model Generating Tool",W. Abels,-,-,-,1,2007
Step-wise refinement in multi-paradigm modeling,"Sándor Bácsi, Zoltán Theisz, G. Mezei, F. Somogyi, Dániel Palatinszky",10.1145/3417990.3421441,https://doi.org/10.1145/3417990.3421441,ACM/IEEE International Conference on Model Driven Engineering Languages and Systems,0,2020
Functional Programming and Metamodeling frameworks for System Design,D. Mathaikutty,-,-,-,5,2005
Towards a generic model evaluation metric for non-normally distributed measurements in water quality and ecosystem models,"Tianyu Fu, Chen Zhang",10.1016/j.ecoinf.2024.102470,https://doi.org/10.1016/j.ecoinf.2024.102470,Ecological Informatics,5,2024
"4th International Workshop on Model Driven Engineering, Verification, and Validation: Integrating Verification and Validation in MDE","B. Baudry, Alain Faivre, Sudipto Ghosh, A. Pretschner",10.1007/978-3-540-69073-3_16,https://doi.org/10.1007/978-3-540-69073-3_16,ACM/IEEE International Conference on Model Driven Engineering Languages and Systems,1,2008
METAMODELLING WITH FORMAL SEMANTICS SPECIFICATIONS FOR AN ACCESS CONTROL METAMODEL WITH DECISION CAPABILITIES,"Jamal Abd-Ali, K. E. Guemhioui, L. Logrippo",10.5220/0005272903540362,https://doi.org/10.5220/0005272903540362,International Conference on Model-Driven Engineering and Software Development,0,2015
Integrating Modeling and Simulation with Test and Evaluation Activities,"Major Donald Paul Waters, Edwards Afb",10.2514/6.2004-6800,https://doi.org/10.2514/6.2004-6800,-,1,2004
Forking Paths of Cultural Complexity: a Case Study of Research Paradigms,"Joshua D. Borycz, Benjamin D. Horne, R. Bentley",10.1142/s0219525922400045,https://doi.org/10.1142/s0219525922400045,Advances in Complex Systems,2,2022
Quantitative Analysis of Software Component’s Reusability,"Nisha Ratti, Parminder Kaur",10.1007/978-3-030-22964-1_5,https://doi.org/10.1007/978-3-030-22964-1_5,"Proceedings of the 1st International Conference on Smart Innovation, Ergonomics and Applied Human Factors (SEAHF)",0,2019
Nouveau paradigme d’évaluation des systèmes de dialogue homme-machine,"M. Laurent, Ghislain Putois, Philippe Bretier, Thierry Moudenc",-,-,JEPTALNRECITAL,0,2009
Foundation of Stimulus-Response/Stimulus-Stimulus Compatability,S. Kornblum,10.21236/ADA397287,https://doi.org/10.21236/ADA397287,-,0,2000
"A Novel Class, Object and Inheritance based Coupling Measure (COICM) to Find Better OOP Paradigm using JAVA","Mr. Narendra, Pal Singh, Prof. Ravindra Gupta",-,-,-,4,2011
Metamers of Bayesian computation,"H. Sohn, M. Jazayeri",10.1101/2020.08.11.246355,https://doi.org/10.1101/2020.08.11.246355,bioRxiv,0,2020
Integration of Knowledge Paradigm and Its Practical Application to Islamic Educational Systems,"Nasir Danzaria, T. A. Ibrahim",10.9734/ajess/2022/v36i3779,https://doi.org/10.9734/ajess/2022/v36i3779,Asian Journal of Education and Social Studies,0,2022
Questioning paradigmatic distinctions in cross-cultural management research: On the “duality” of culture,Alexander Frame,10.1177/14705958251336586,https://doi.org/10.1177/14705958251336586,International Journal of Cross Cultural Management,2,2025
A decision making model for software design,Abdesselam Redouane,10.1109/ICSMC.2007.4413795,https://doi.org/10.1109/ICSMC.2007.4413795,"IEEE International Conference on Systems, Man and Cybernetics",1,2007
Profiling Web Components Quality Using User-Centered Assessment,"A. Martínez-Ortiz, D. Lizcano, G. López, L. Ruiz, M. Ortega",10.1109/CSCI.2017.167,https://doi.org/10.1109/CSCI.2017.167,2017 International Conference on Computational Science and Computational Intelligence (CSCI),0,2017
Paradigm shift and the integrated feedback approach,"W. Hsu, C. S. Lee",10.1109/ROBOT.1995.525688,https://doi.org/10.1109/ROBOT.1995.525688,Proceedings of 1995 IEEE International Conference on Robotics and Automation,1,1995
Customizing search results for non-native speakers,"Theodoros Lappas, M. Vlachos",10.1145/2396761.2398526,https://doi.org/10.1145/2396761.2398526,International Conference on Information and Knowledge Management,1,2012
A tool for the convergence of multilevel modelling approaches,"Fernando Macías, Adrian Rutle, V. Stolz",-,-,ACM/IEEE International Conference on Model Driven Engineering Languages and Systems,2,2018
Using A Body-part Compatibility Paradigm as an Index of Tool-embodiment,Aarohi Pathak,-,-,-,0,2020
Quality of Service Ranking by Quantifying Partial Compliance of Requirements,"Agustín E. Martinez-Suñé, Carlos López Pombo",10.1007/978-3-030-50029-0_12,https://doi.org/10.1007/978-3-030-50029-0_12,International Conference on Coordination Models and Languages,1,2020
Truth Logic of Modalities Consistent and Incompatible: A Computational Program and Experimental Studies among College Students,"Salma Waheed, Moyun Wang, Abdul Waheed, Sana Habib",10.54536/jtel.v1i2.2008,https://doi.org/10.54536/jtel.v1i2.2008,Journal of Tertiary Education and Learning,0,2023
Code Comprehension in a Multi-paradigm Environment: Background and Experimental Setup,"Daniël Floor, Rinse van Hees, Vadim Zaytsev",-,-,Seminar on Advanced Techniques and Tools for Software Evolution,0,2023
Towards a Unifying Model Transformation Bus,"Maris Jukss, B. Barroca, Clark Verbrugge, H. Vangheluwe",-,-,GEMOC+MPM@MoDELS,0,2015
O Desafio ao Paradigma do Exercício e sua Compatibilização com as Práticas Escolares por Professores que Ensinam Matemática,"João Da Cruz Neves Silva Neto, Jonei Cerqueira Barbosa",10.46312/pem.v16i44.19338,https://doi.org/10.46312/pem.v16i44.19338,Perspectivas da educação matemática,1,2023
analogical approach to the typology of inflectional complexity,Matías Guzmán Naranjo,10.15398/jlm.v12i2.352,https://doi.org/10.15398/jlm.v12i2.352,Journal of Language Modelling,0,2024
Influencia de Paradigmas de Gestión de Proyectos en CMMI,"Leonel Caviedes, Samuel Sepúlveda Cuevas, Carlos Cares",-,-,Encuentro Informática y Gestión,0,2008
Integrating incompatible hardware and software systems,Ian Burchett,10.1145/1900008.1900038,https://doi.org/10.1145/1900008.1900038,ACM Southeast Regional Conference,0,2010
Quality metrics for diversified similarity searching: What they stand for?,"Camila L. Lopes, Daniel L. Jasbick, M. Bedo, Lúcio F. D. Santos",10.5753/sbbd.2020.13620,https://doi.org/10.5753/sbbd.2020.13620,Brazilian Symposium on Databases,1,2020
Resource or slot model in visual working memory: Are they different?,"Fatemeh Hojjati, Ali Motahharynia, Armin Adibi, Iman Adibi, Mehdi Sanayei",10.1101/2024.02.08.579494,https://doi.org/10.1101/2024.02.08.579494,bioRxiv,0,2024
Introducing the Task Switching Game: a paradigm for neuroimaging and online studies,"D. Kurtin, Dr. Matthew Jaquiery, Dr. Tibor Auer, Prof. Adam Hampshire, Dr. Ines R. Violante",10.12688/f1000research.109729.1,https://doi.org/10.12688/f1000research.109729.1,F1000Research,0,2022
CAMBIO DE PARADIGMAS: IMPLICACIONES PARA EL ACERCAMIENTO AL CONOCIMIENTO CIENTÍFICO,Natalia Bondarenko Prisemskaya,-,-,-,1,2002
Marco de Integración de Paradigmas Tecnológicos hacia una Web Semántica Distribuida basada en la Gestión de Procesos (Integration Framework of Technological Paradigms Towards a Distributed Semantic Web based on Process Management),Carlos Alberto Pereira-Marín,-,-,-,0,2018
Multimodal System Design Integration Using Category Theory,"Yaniv Mordecai, A. Engel",10.1109/SysCon53073.2023.10131062,https://doi.org/10.1109/SysCon53073.2023.10131062,IEEE Systems Conference,0,2023
Programming Language Adoption as an Epidemiological Phenomenon,"E. Barreiros, Jones O. Albuquerque, J. P. L. D. Oliveira, Helaine Lins, S. Soares",10.1145/3131151.3131188,https://doi.org/10.1145/3131151.3131188,Brazilian Symposium on Software Engineering,0,2017
Développer un travail géométrique complet et conforme chez les étudiants de première année de master enseignement en France,"Alain Kuzniak, Assia Nechache",10.26034/vd.rm.2020.1740,https://doi.org/10.26034/vd.rm.2020.1740,Revue de mathématiques pour l'école,0,2022
"ModHel'X, un outil expérimental pour la modélisation multi-paradigmes","C. Jacquet, Cécile Hardebolle, F. Boulanger",-,-,-,0,2014
THE USE OF ETHNOGRAPHIC PARADIGM IN THE DEVELOPMENT OF QUANTITATIVE RESEARCH MATERIALS,V. Artyukhin,10.55186/2658-3569-2024-3-19-28,https://doi.org/10.55186/2658-3569-2024-3-19-28,International Journal of Applied Sciences and Technology Integral,0,2024
A Real-Time Analysis of Human Performance in Interactive and Adaptive Mixed-Reality Simulation,"Inki Kim, Mukhilshankar Umashankar",-,-,"IEEE/ACM International Conference on Connected Health: Applications, Systems and Engineering Technologies",0,2022
Rethinking process improvement: from diffusion to translation,"Rima Al Hasan, Pietro Micheli",10.1108/ijopm-05-2024-0360,https://doi.org/10.1108/ijopm-05-2024-0360,International Journal of Operations &amp; Production Management,0,2025
P110. Networks for semantic integration in auditory speech comprehension,"J. Klingbeil, I. Henseler, M. Wawrzyniak, C. Wendt, G. Hartwigsen, D. Saur",10.1016/j.clinph.2015.04.152,https://doi.org/10.1016/j.clinph.2015.04.152,Clinical Neurophysiology,0,2015
MCP-RADAR: A Multi-Dimensional Benchmark for Evaluating Tool Use Capabilities in Large Language Models,"Xuanqi Gao, Siyi Xie, Juan Zhai, Shqing Ma, Chao Shen",10.48550/arXiv.2505.16700,https://doi.org/10.48550/arXiv.2505.16700,arXiv.org,0,2025
On marrying ontological and metamodeling technical spaces,"Fernando Silva Parreiras, Steffen Staab, Andreas Winter",10.1145/1287624.1287687,https://doi.org/10.1145/1287624.1287687,ESEC-FSE '07,0,2007
Model-driven integration of software and service components,"Barrett R. Bryant, Wei Zhao",-,-,-,0,2006
Bimanual Interference Experimental Paradigm v1,"R. Varghese, Jasmine Ma, J. Gordon, Robert L Sainburg, Carolee J. Winstein",10.17504/protocols.io.7r3hm8n,https://doi.org/10.17504/protocols.io.7r3hm8n,protocols.io,0,2020
Knowledge Transfer Between Languages and Paradigms,"Deborah J. Armstrong, H. Nelson",-,-,-,2,2000
Cross-format integration between spoken number words and Arabic digits,Chia-Yuan Lin,-,-,-,0,2017
Model Selection in AVSP : Some Old and Not So Old News,"Dominic W. Massaro, St Jorioz, France",-,-,-,0,2003
Computational modeling for improving usability design workflow,"Xiangyang Li, Melih Gunal, J. Shiau",10.1109/ICNSC.2009.4919359,https://doi.org/10.1109/ICNSC.2009.4919359,"International Conference on Networking, Sensing and Control",0,2009
Object-Driven Narrative in AR: A Scenario-Metaphor Framework with VLM Integration,"Sun Yusi, Haoyan Guan, Leith Kin Yip Chan, Yong Hong Kuo",10.48550/arXiv.2504.13119,https://doi.org/10.48550/arXiv.2504.13119,arXiv.org,0,2025
Specification and Verification of Communication Paradigms for CBSE in Event B,"Loïc Thierry, Jason Jaskolka, Brahim Hamid, J. Bodeveix",10.1109/ICECCS59891.2023.00028,https://doi.org/10.1109/ICECCS59891.2023.00028,IEEE International Conference on Engineering of Complex Computer Systems,0,2023
Systematic Assessment of Formal Methods Based Models Quality Criteria,"Lorenzo Maldini, Stephen Wright",10.1007/978-3-030-87657-9_3,https://doi.org/10.1007/978-3-030-87657-9_3,MEDI Workshops,0,2021
Improving domain representation with multi-paradigm modeling,"A. Leitner, R. Weiss, Christian Kreiner, W. Ebner",10.1145/2364412.2364446,https://doi.org/10.1145/2364412.2364446,Software Product Lines Conference,0,2012
Web Services Interfaces Assessment through Semantic Similarity of Terms,"A. D. Renzis, Martin Garriga, A. Flores, A. Cechich, Alejandro Zunino",10.1109/SCCC.2014.34,https://doi.org/10.1109/SCCC.2014.34,International Conference of the Chilean Computer Science Society,0,2014
Modeling the prompt in inference judgment tasks,"Julian Grove, Aaron Steven White",10.3765/elm.3.5857,https://doi.org/10.3765/elm.3.5857,Experiments in Linguistic Meaning,0,2025
An experimental design for evaluating the maintainability of aspect-oriented models enhanced with domain-specific constructs,"A. Hovsepyan, S. Baelen, R. Scandariato, W. Joosen, S. Demeyer",-,-,-,2,2010
UML-based Frameworks for Engineering of Interoperable Information Systems,"M. Terrasse, M. Savonnet, George Becker, É. Leclercq",-,-,-,0,2003
New Trends in the Intergration of Paradigms,H. R. Nielson,-,-,-,0,2008
Development and Evaluation Process of Model Transformation,S. Kolahdouz-Rahimi,-,-,-,0,2011
System evolution by migration coordination,"S. Andova, L. Groenewegen, de Ep Erik Vink",-,-,-,2,2008
Electronic Communications of the EASST Volume X ( 2011 ) Proceedings of the 5 th International Workshop on Multi-Paradigm Modeling ( MPM 2011 ) Semantic Adaptation using CCSL Clock Constraints,"Frédéric Boulanger, Ayman Dogui, Cécile Hardebolle, Christophe Jacquet, Dominique Marcadet, Iuliana Prodan",-,-,-,0,2011
Modeling the performance of the human (pilot) interaction in a synthetic flight domain: Information theoretic approach,C. Ntuen,-,-,-,0,1992
Using Design Paradigms to Evaluate the Collaborative,"Hsien-Hui Tang, Yung-Ying Lee",-,-,-,0,2008
Interaction protocols in paradigm : extensions to a modeling language through tool development,A. Stam,-,-,-,1,2009
Aphrodisias de Carie : les chapitaux du temple. Étude technique,Louis Frey,-,-,-,0,1994
Paradigmes pour l'interoperabilite entre environnements virtuels,Hubert Le Van Gong,-,-,-,2,1996
Formalisation of component-based systems,Jiong Zhou,-,-,-,0,2007
Alma Mater Studiorum Università di Bologna Archivio istituzionale,"Alma Mater, Ambra Molesini, Enrico Denti, Andrea Omicini",-,-,-,0,-
Une approche pragmatique pour mesurer la qualité des applications à base de composants logiciels. (A pragmatic approach to measure the quality of Component-Based Software Applications),S. Hamza,-,-,-,1,2014
Software metric extension of the Enterprisemodelling technique,Johann Tor Sigfusson,-,-,-,0,1997
The Object Relational impedance mismatch from a cognitive point of view,Hogeschool van Amsterdam Wibautstraat,-,-,-,0,2014
Types for Multi-Paradigm Modelling,"J. Lara, H. Vangheluwe",-,-,-,0,-
"A Hard Science is Good to Find Textual Similarity as a Measure of Scientific Paradigm Development , A Preliminary Investigation",Susan Biancani,-,-,-,1,2011
CUALIDAD Y CANTIDAD EN LAS INVESTIGACIONES EDUCACIONALES. ALGUNAS REFLEXIONES SOBRE SU INTEGRACIÓN,"Miguel Cruz Ramírez, Miguel Escalona Reyes, Luís Téllez Lazo",-,-,-,2,2018
Integrating a Declarative with an Imperative Model Transformation Language,"P. V. Gorp, Olaf Muliawan, D. Janssens",-,-,-,1,2006
Current Issues in Multi-Paradigm Modeling,"J. Lara, T. Levendovszky, P. Mosterman, H. Vangheluwe",-,-,-,1,2008
Metric Based Evaluation of Software Paradigms,"V. R. Jetson, G. Prasad",-,-,-,0,2016
Proposition d'une métrique de la qualité de l'audit: expérimentation dans le cadre des relations d'agences internes,Makram Chemangui,-,-,-,0,2009
4.1 Qualitative Methodology 4.1.1 Qualitative Research Paradigms 4.1.4 Methods and Methodological Design,-,-,-,-,0,-
Component Model Interoperability for Scientific Computing,Kostadin Damevski,-,-,-,1,2006
Modular semantics for model-oriented design,"Mary Cindy Kong Shing Cheong, Perry Alexander",-,-,-,2,2004
THE EFFECTS O F STIMULUS MODALITY AND TASK INTEGRALITY: PREDICTING DUAL-TASK PERFORMANCE. AND WORKLOAD FROM SINGLETASK LEVELS,"G. Sandra, Hart, R. Shively, hlichael A. Vidulich",-,-,-,0,2008
Modular semantics for model-oriented design,Allan Pasco,-,-,-,2,2004
THE EFFECTS O F STIMULUS MODALITY AND TASK INTEGRALITY: PREDICTING DUAL-TASK PERFORMANCE. AND WORKLOAD FROM SINGLETASK LEVELS,Ronald C. Miller,-,-,-,0,2008
Applying Modelling Paradigms to analyse Organisational problems,"Adriana Ortiz, J. M. Sarriegi, Javier Santos",-,-,-,2,2006
Bridging model-based design for dependability and empirical observations,A. Pataricza,-,-,-,0,2007
Analysis of Cognitive Models to Evaluate User Interfaces,Jeronimo Dzacck,-,-,-,0,2006
Triune Continuum Paradigm,Andrey Naumenko,10.5075/EPFL-THESIS-2581,https://doi.org/10.5075/EPFL-THESIS-2581,-,2,2002
Diagnosing interoperability problems and debugging models by enhancing constraint satisfaction with case-based reasoning,"M. Sqalli, Eugene C. Freuder",-,-,-,1,2002
Comparaison et paradigme,C. Fuchs,10.4000/SIGNATA.1388,https://doi.org/10.4000/SIGNATA.1388,-,1,2017
Does-It-Work? Metrology for Functionality and Efficacy,"Victor Tang, K. Otto, W. Seering",10.1007/978-3-319-63026-7_4,https://doi.org/10.1007/978-3-319-63026-7_4,-,0,2018
Electronic Communications of the EASST Volume 21 ( 2009 ) Proceedings of the 3 rd International Workshop on Multi-Paradigm Modeling ( MPM 2009 ) DSL Composition for model-based test generation,"B. Barroca, L. Lucio, Didier Buchs, Vasco Amaral, Luis Pedro",-,-,-,2,2009
Modeling Migration Projects An ArchiMate and Paradigm case study in a university context,N. Groot,-,-,-,0,2010
Quantitative Analysis of Model Transformations by Means of Metrics: A Generic Approach,R. Bouten,-,-,-,0,2011
Analytical methods for assessing syllable structure in experimental data,-,-,-,-,0,2012
Multi-paradigm network modeling framework,"R. Bagrodia, Junlan Zhou",-,-,-,1,2006
Uma avaliação empírica de métricas para programas orientados a objeto no contexto de teste de software,L. Chaves,-,-,-,0,2012
Exploring Semantic Relatedness in Arabic Corpora using Paradigmatic and Syntagmatic Models,"Adil Toumouh, D. Widdows, A. Lehireche",10.5815/IJIEEB.2016.01.05,https://doi.org/10.5815/IJIEEB.2016.01.05,-,0,2016
Paradigm Inversion,C. Pearson,10.1515/css-2014-0056,https://doi.org/10.1515/css-2014-0056,-,0,2014
On integrating triple graph grammars and OCL for model-driven development,Duc-Hanh Dang,-,-,-,0,2009
