Title,Authors,DOI,DOI link,Venue,Citation count,Year
Institutional Translation and Interpreting: Assessing Practices and Managing for Quality,Ran Yi,10.1080/01900692.2023.2219425,https://doi.org/10.1080/01900692.2023.2219425,International Journal of Public Administration,2,2023
Crosslingual and Multilingual Construction of Syntax-Based Vector Space Models,"Jason Utt, Sebastian Padó",10.1162/tacl_a_00180,https://doi.org/10.1162/tacl_a_00180,Transactions of the Association for Computational Linguistics,14,2014
Exploring multiliteracies in multilingual students: Profiles of multilingual writing skills,"I. Usanova, Birger Schnoor",10.1080/15235882.2021.1890649,https://doi.org/10.1080/15235882.2021.1890649,-,19,2021
An Integrative Research Review on Chinese Integrated Writing Assessment Over Two Decades,"Xinhua Zhu (祝新华), Jialin Li (李嘉琳), Yuan Yao (姚远), Wandong Xu (许皖栋), Siyu Zhu (朱思宇), Wanru Pang (庞琬茹), Yiwen Sun (孙伊雯)",10.1177/20965311251351987,https://doi.org/10.1177/20965311251351987,ECNU Review of Education,0,2025
The Complex Adaptive System Principles model for bilingualism: Language interactions within and across bilingual minds,"Luna Filipović, J. Hawkins",10.1177/1367006918781076,https://doi.org/10.1177/1367006918781076,International Journal of Bilingualism,42,2018
Towards a model-driven approach for multiexperience AI-based user interfaces,"Elena Planas, Gwendal Daniel, Marco Brambilla, Jordi Cabot",10.1007/s10270-021-00904-y,https://doi.org/10.1007/s10270-021-00904-y,Journal of Software and Systems Modeling,22,2021
A systematic mapping study of semantic technologies in multi-omics data integration,"Giovanni Maria De Filippis, Domenico Amalfitano, Cristiano Russo, C. Tommasino, A. M. Rinaldi",10.1016/j.jbi.2025.104809,https://doi.org/10.1016/j.jbi.2025.104809,Journal of Biomedical Informatics,1,2025
Empirical studies in software and systems traceability,"Patrick Mäder, Rocco Oliveto, Andrian Marcus",10.1007/s10664-017-9509-1,https://doi.org/10.1007/s10664-017-9509-1,Empirical Software Engineering,11,2017
Development of fast neurotransmitter synapses: General principle and recent progress,"W. Lu, Yelin Chen",10.1016/j.brainresbull.2016.11.009,https://doi.org/10.1016/j.brainresbull.2016.11.009,Brain Research Bulletin,3,2017
How to Integrate Content and Language Learning Effectively for English Language Learners,D. Short,10.12973/EURASIA.2017.00806A,https://doi.org/10.12973/EURASIA.2017.00806A,-,48,2017
The Extraordinary Ordinary: Re‐engineering Multilingualism as a Natural Category,Raphael Berthele,10.1111/lang.12407,https://doi.org/10.1111/lang.12407,-,30,2020
Tackling the multilingual and heterogeneous documents with the pre-trained language identifiers,"Mohamed Raouf Kanfoud, Abdelkrim Bouramoul",10.1080/1206212X.2023.2218236,https://doi.org/10.1080/1206212X.2023.2218236,-,1,2023
"The Integration of Quality, Environmental and Health and Safety Management by Car Manufacturers – a Long-Term Empirical Study",Anette Von Ahsen,10.1002/BSE.1791,https://doi.org/10.1002/BSE.1791,-,42,2014
Selecting Relevant Documents for Multilingual Content Analysis:: An Evaluation of Keyword and Semantic Similarity Search Approaches,"Sean Palicki, Stefanie Walter, Wouter van Atteveldt, Alice Beazer, Isaac Bravo",10.5117/ccr2023.2.5.pali,https://doi.org/10.5117/ccr2023.2.5.pali,Computational Communication Research,0,2023
Integration scenarios of virtual worlds in learning management systems using the MULTIS approach,"Leonel Morgado, H. Paredes, Benjamim Fonseca, P. Martins, Álvaro Almeida, Andreas Vilela, Bruno-Miguel Pires, Márcio Cardoso, Filipe Peixinho, Arnaldo Santos",10.1007/s00779-017-1063-8,https://doi.org/10.1007/s00779-017-1063-8,Personal and Ubiquitous Computing,4,2017
A Systematic Literature Review of Multi-Label Learning in Software Engineering,"Joonas Hämäläinen, Teerath Das, T. Mikkonen",10.1145/3708532,https://doi.org/10.1145/3708532,ACM Transactions on Software Engineering and Methodology,0,2024
Revisiting culture and language in global management teams,"L. Cohen, Jane Kassis-Henderson",10.1177/1470595816684882,https://doi.org/10.1177/1470595816684882,-,23,2017
METTLE: A METamorphic Testing Approach to Assessing and Validating Unsupervised Machine Learning Systems,"Xiaoyuan Xie, Zhiyi Zhang, T. Chen, Yang Liu, P. Poon, Baowen Xu",10.1109/TR.2020.2972266,https://doi.org/10.1109/TR.2020.2972266,IEEE Transactions on Reliability,49,2018
Advancing Static Code Analysis With Language-Agnostic Component Identification,"Micah Schiewe, Jacob Curtis, Vincent Bushong, T. Cerný",10.1109/ACCESS.2022.3160485,https://doi.org/10.1109/ACCESS.2022.3160485,IEEE Access,23,2022
Approaches and tools for user-driven provenance and data quality information in spatial data infrastructures,"Julia Fischer, L. Egli, J. Groth, Caterina Barrasso, Steffen Ehrmann, Heiko Figgemeier, Christin Henzen, Carsten Meyer, R. Müller-Pfefferkorn, Arne Rümmler, Michael Wagner, L. Bernard, R. Seppelt",10.1080/17538947.2023.2198778,https://doi.org/10.1080/17538947.2023.2198778,International Journal of Digital Earth,6,2023
Designing Multilingual Experiences in Technical Communication: Laura Gonzales: [Book Review],Alan Houser,10.1109/tpc.2023.3238139,https://doi.org/10.1109/tpc.2023.3238139,IEEE Transactions on Professional Communication,1,2023
"Trends in entertainment, home automation and e-health: Toward cross-domain integration","A. Aragues, I. Martínez, P. D. Valle, Pilar Munoz, J. Escayola, J. D. Trigo",10.1109/MCOM.2012.6211501,https://doi.org/10.1109/MCOM.2012.6211501,IEEE Communications Magazine,25,2012
"Experimental IR Meets Multilinguality, Multimodality, and Interaction","Norbert Fuhr, Paulo Quaresma, Teresa Gonçalves, Birger Larsen, K. Balog, Craig Macdonald, L. Cappellato, Nicola Ferro",10.1007/978-3-319-44564-9,https://doi.org/10.1007/978-3-319-44564-9,Lecture Notes in Computer Science,19,2016
Integration of software tools for integrative modeling of biomolecular systems.,"Matthew Hancock, Thomas O. Peulen, Ben M. Webb, B. Poon, J. S. Fraser, P. Adams, A. Sali",10.1016/j.jsb.2022.107841,https://doi.org/10.1016/j.jsb.2022.107841,Journal of Structural Biology,16,2022
Combining multiple socio-cultural approaches – Deeper insights into cultural ecosystem services of mountain lakes?,"M. Ebner, U. Schirpke, U. Tappeiner",10.1016/j.landurbplan.2022.104549,https://doi.org/10.1016/j.landurbplan.2022.104549,Landscape and Urban Planning,17,2022
Exploring Low-Carbon Futures: A Web Service Approach to Linking Diverse Climate-Energy-Economy Models,"Getachew F. Belete, A. Voinov, I. Arto, K. Dhavala, T. Bulavskaya, Leila Niamir, S. Moghayer, T. Filatova",10.3390/EN12152880,https://doi.org/10.3390/EN12152880,Energies,13,2019
Assessment of the Application of Content and Language Integrated Learning in a Multilingual Classroom,"T. Baranova, D. Mokhorov, A. Kobicheva, E. Tokareva",10.3390/educsci11120808,https://doi.org/10.3390/educsci11120808,Education sciences,5,2021
A method to select a successful interoperability solution through a simulation approach,"F. Galasso, Y. Ducq, M. Lauras, Didier Gourc, M. Camara",10.1007/s10845-014-0889-4,https://doi.org/10.1007/s10845-014-0889-4,Journal of Intelligent Manufacturing,16,2014
Integrating Fairness in the Software Design Process: An Interview Study With HCI and ML Experts,"Seamus Ryan, Camille Nadal, Gavin Doherty",10.1109/ACCESS.2023.3260639,https://doi.org/10.1109/ACCESS.2023.3260639,IEEE Access,8,2023
Using Systems Architecture Views to Assess Integration Readiness Levels,"Gabriel T. Jesus, M. F. C. Júnior",10.1109/TEM.2020.3035492,https://doi.org/10.1109/TEM.2020.3035492,IEEE transactions on engineering management,13,2020
INTERO: An Interoperability Model for Large Systems,"Romina Spalazzese, Patrizio Pelliccione, Ulrik Eklund",10.1109/MS.2017.265100723,https://doi.org/10.1109/MS.2017.265100723,IEEE Software,5,2020
INTER-Meth: A Methodological Approach for the Integration of Heterogeneous IoT Systems,"G. Fortino, Raffaele Gravina, W. Russo, Claudio Savaglio, K. Wasielewska, M. Ganzha, M. Paprzycki, W. Pawłowski, Paweł Szmeja, Rafał Tkaczyk",10.1007/978-3-030-82446-4_7,https://doi.org/10.1007/978-3-030-82446-4_7,Internet of Things,0,2021
Teaching language and content in multicultural and multilingual classrooms: CLIL and EMI approaches,"Chaoqun Lu, Wentao Li",10.1080/01434632.2021.1993547,https://doi.org/10.1080/01434632.2021.1993547,Journal of Multilingual and Multicultural Development,4,2021
The Complexity Problem in Future Multisensor Navigation and Positioning Systems: A Modular Solution,P. Groves,10.1017/S0373463313000696,https://doi.org/10.1017/S0373463313000696,Journal of navigation,32,2013
Composing multiple variability artifacts to assemble coherent workflows,"M. Acher, P. Collet, A. Gaignard, Philippe Lahire, J. Montagnat, R. France",10.1007/s11219-011-9170-7,https://doi.org/10.1007/s11219-011-9170-7,Software quality journal,39,2011
Performing Multilingual Analysis With Linguistic Inquiry and Word Count 2015 (LIWC2015). An Equivalence Study of Four Languages,"D. Dudău, F. Sava",10.3389/fpsyg.2021.570568,https://doi.org/10.3389/fpsyg.2021.570568,Frontiers in Psychology,28,2021
Reading as the Interpretation of Signs,M. Dressman,10.1002/RRQ.114,https://doi.org/10.1002/RRQ.114,-,11,2016
Complexity Theory: A New Paradigm for Software Integration,G. Hurlburt,10.1109/MITP.2012.87,https://doi.org/10.1109/MITP.2012.87,IT Professional,5,2013
A formal ontology for industrial maintenance,"Mohamed-Hedi Karray, B. Chebel-Morello, N. Zerhouni",10.3233/AO-2012-0112,https://doi.org/10.3233/AO-2012-0112,Appl. Ontology,46,2012
Interoperability of telemonitoring data in digital health solutions: a scoping review,"Diogo Martins, Simon Lewerenz, Anderson Carmo, Henrique Martins",10.3389/fdgth.2025.1502260,https://doi.org/10.3389/fdgth.2025.1502260,Frontiers Digit. Health,0,2025
"Neural language models for the multilingual, transcultural, and multimodal Semantic Web",Dagmar Gromann,10.3233/sw-190373,https://doi.org/10.3233/sw-190373,Semantic Web,5,2020
Complex interactions in the multilingual mind: Assessing metalinguistic abilities and their effects on decoding a new language system in trilingual learners,"Birgit Spechtenhauser, Ulrike Jessner",10.1016/j.lingua.2024.103678,https://doi.org/10.1016/j.lingua.2024.103678,Lingua,8,2024
A Comprehensive Evaluation of Embedding Models and LLMs for IR and QA Across English and Italian,"Ermelinda Oro, Francesco Maria Granata, M. Ruffolo",10.3390/bdcc9050141,https://doi.org/10.3390/bdcc9050141,Big Data and Cognitive Computing,0,2025
Systemic functional linguistics: the perfect match for content and language integrated learning,"Ana Llinares, A. McCabe",10.1080/13670050.2019.1635985,https://doi.org/10.1080/13670050.2019.1635985,International Journal of Bilingual Education and Bilingualism,25,2020
Applying Bidirectional Transformations to the Design of Interoperable EMR Systems,"J. Weber, J. Ho",10.1007/s41666-019-00065-0,https://doi.org/10.1007/s41666-019-00065-0,Journal of Healthcare Informatics Research,3,2020
AI regulation: maintaining interoperability through value-sensitive standardisation,"Ana Paula Gonzalez Torres, Timo Ali-Vehmas",10.1007/s10676-025-09832-7,https://doi.org/10.1007/s10676-025-09832-7,Ethics and Information Technology,0,2025
Using tool integration for improving traceability management testing processes: An automotive industrial experience,"Domenico Amalfitano, V. D. Simone, Raffaele Rodolfo Maietta, Stefano Scala, A. Fasolino",10.1002/smr.2171,https://doi.org/10.1002/smr.2171,J. Softw. Evol. Process.,10,2019
"Interoperable, Smart, and Sustainable Urban Energy Systems","Raúl Pastor, Anabel Fraga, Luis López-Cózar",10.3390/su151813491,https://doi.org/10.3390/su151813491,Sustainability,7,2023
TERMINTEGRAL: Una plataforma para la construcción de bases terminológicas y ontologías,"Teresa Cabré, Gráfico",10.52034/lanstts.v3i.115,https://doi.org/10.52034/lanstts.v3i.115,Linguistica Anverpiensia New Series ? Themes in Translation Studies,1,2021
Collaborative multilingual knowledge management based on controlled natural language,"K. Kaljurand, Tobias Kuhn, Laura Canedo",10.3233/SW-140152,https://doi.org/10.3233/SW-140152,Semantic Web,11,2015
Policy integration: Do laws or actors integrate issues relevant to flood risk management in Switzerland?,"Florence Metz, Mario Angst, M. Fischer",10.1016/j.gloenvcha.2019.101945,https://doi.org/10.1016/j.gloenvcha.2019.101945,Global Environmental Change,38,2020
"Experimental IR Meets Multilinguality, Multimodality, and Interaction","B. Kille, Torben Brodt, Tobias Heintz, F. Hopfgartner, A. Lommatzsch, Jonas Seiler",10.1007/978-3-319-24027-5,https://doi.org/10.1007/978-3-319-24027-5,Lecture Notes in Computer Science,32,2015
Rare Diseases in Hospital Information Systems—An Interoperable Methodology for Distributed Data Quality Assessments,"Kais Tahar, Tamara Martin, Yongli Mou, Raphael Verbuecheln, H. Graessner, D. Krefting",10.1055/a-2006-1018,https://doi.org/10.1055/a-2006-1018,Methods of Information in Medicine,8,2022
"Machine Translation: Phrase-Based, Rule-Based and Neural Approaches with Linguistic Evaluation","Vivien Macketanz, Eleftherios Avramidis, A. Burchardt, Jindřich Helcl, Ankit Srivastava",10.1515/cait-2017-0014,https://doi.org/10.1515/cait-2017-0014,-,24,2017
INTER-Layer: A Layered Approach for IoT Platform Interoperability,"Andreu Belsa, A. Fornés-Leal, Clara I. Valero, Eneko Olivares, Jara Suárez de Puga, F. Boronat, F. Fuart",10.1007/978-3-030-82446-4_4,https://doi.org/10.1007/978-3-030-82446-4_4,Internet of Things,0,2021
Software Technologies: Applications and Foundations,"P. Milazzo, Dániel Varró, M. Wimmer",10.1007/978-3-319-50230-4,https://doi.org/10.1007/978-3-319-50230-4,Lecture Notes in Computer Science,4,2016
Cross border semantic interoperability for learning health systems: The EHR4CR semantic resources and services,"C. Daniel, David Ouagne, Éric Sadou, N. Paris, S. Hussain, M. Jaulent, D. Kalra",10.1002/lrh2.10014,https://doi.org/10.1002/lrh2.10014,Learning Health Systems,13,2016
Sociotechnical Factors Affecting Interoperability of Digital Humanities,"Rui Liu, Dana Mckay, G. Buchanan",10.1002/pra2.1022,https://doi.org/10.1002/pra2.1022,Proceedings of the Association for Information Science and Technology,0,2024
An industrial assessment for a multimodel framework,"X. Larrucea, Izaskun Santamaría",10.1002/smr.1669,https://doi.org/10.1002/smr.1669,J. Softw. Evol. Process.,6,2014
A Systematic Identification of Formal and Semi-Formal Languages and Techniques for Software-Intensive Systems-of-Systems Requirements Modeling,"C. Lana, Milena Guessi, P. Antonino, Dieter Rombach, E. Nakagawa",10.1109/JSYST.2018.2874061,https://doi.org/10.1109/JSYST.2018.2874061,IEEE Systems Journal,11,2019
Tabdoc Approach: An Information Fusion Method to Implement Semantic Interoperability Between IoT Devices and Users,"Shuo Yang, Ran Wei",10.1109/JIOT.2018.2871274,https://doi.org/10.1109/JIOT.2018.2871274,IEEE Internet of Things Journal,11,2019
Deep web integration with VisQI,"Thomas Kabisch, Eduard Constantin Dragut, Clement T. Yu, U. Leser",10.14778/1920841.1921053,https://doi.org/10.14778/1920841.1921053,Proceedings of the VLDB Endowment,35,2010
An integration engineering framework for machine learning in healthcare,"A. Assadi, P. Laussen, Andrew J. Goodwin, S. Goodfellow, Will Dixon, R. Greer, A. Jegatheeswaran, Devin Singh, M. Mccradden, Sara N. Gallant, A. Goldenberg, D. Eytan, M. Mazwi",10.3389/fdgth.2022.932411,https://doi.org/10.3389/fdgth.2022.932411,Frontiers in Digital Health,13,2022
Building multi-domain conversational systems from single domain resources,"D. Griol, Jose M. Molina",10.1016/j.neucom.2017.01.112,https://doi.org/10.1016/j.neucom.2017.01.112,Neurocomputing,5,2018
Quantitative analysis of manual annotation of clinical text samples,"José Antonio Miñarro-Giménez, R. Cornet, M. Jaulent, H. Dewenter, S. Thun, K. Gøeg, D. Karlsson, S. Schulz",10.1016/j.ijmedinf.2018.12.011,https://doi.org/10.1016/j.ijmedinf.2018.12.011,Int. J. Medical Informatics,27,2019
Foreign Language Teaching and Learning in a Multimedia Environment,L. Kornum,10.1558/CJ.V10I3.65-76,https://doi.org/10.1558/CJ.V10I3.65-76,CALICO journal,12,2013
"Towards a multilingual approach in assessing writing: holistic, analytic and cross-linguistic perspectives",María Orcasitas-Vicandi,10.1080/13670050.2021.1894089,https://doi.org/10.1080/13670050.2021.1894089,International Journal of Bilingual Education and Bilingualism,14,2021
Can multilinguality improve Biomedical Word Sense Disambiguation?,"A. Fernandez, Juan Martínez-Romo, Lourdes Araujo",10.1016/j.jbi.2016.10.020,https://doi.org/10.1016/j.jbi.2016.10.020,Journal of Biomedical Informatics,9,2016
Introduction to the special issue,"L. Pretorius, C. Soria",10.1007/s10579-017-9405-8,https://doi.org/10.1007/s10579-017-9405-8,Language Resources and Evaluation,0,2017
New Approaches to Contrastive Linguistics: Empirical and Methodological Challenges,"Pengbo He, Delin Liu",10.2989/16073614.2021.2017782,https://doi.org/10.2989/16073614.2021.2017782,Southern African Linguistics and Applied Language Studies,2,2022
Parallel corpora make sense: Bypassing the knowledge acquisition bottleneck for Word Sense Disambiguation,"Els Lefever, Veronique Hoste",10.1075/IJCL.19.3.02LEF,https://doi.org/10.1075/IJCL.19.3.02LEF,-,5,2014
Universal Access in Human-Computer Interaction. Multimodality and Assistive Environments,"M. Antona, C. Stephanidis",10.1007/978-3-030-23563-5,https://doi.org/10.1007/978-3-030-23563-5,Lecture Notes in Computer Science,7,2019
Rapidly developing NLP applications for content curation,"J. Moreno-Schneider, Malte Ostendorff, Konstantin Schulz, Karolina Zaczynska, Florian Kintzel, Georg Rehm",10.1007/s10579-024-09774-4,https://doi.org/10.1007/s10579-024-09774-4,Language Resources and Evaluation,0,2024
Automated classification of content components in technical communication,"Jan Oevermann, W. Ziegler",10.1111/coin.12157,https://doi.org/10.1111/coin.12157,International Conference on Climate Informatics,8,2018
An Empirical Study on Crosslingual Transfer in Probabilistic Topic Models,"Shudong Hao, Michael J. Paul",10.1162/coli_a_00369,https://doi.org/10.1162/coli_a_00369,International Conference on Computational Logic,7,2018
Integration of qualimetric approaches into modern educational information measurement technologies,",. H. S. Hrinchenko, ,. A. M. Matsko",10.26565/2079-1747-2024-34-04,https://doi.org/10.26565/2079-1747-2024-34-04,Engineering,0,2024
Assessing receptive vocabulary using state‑of‑the‑art natural language processing techniques,"S. Crossley, Langdon Holmes",10.1075/jsls.22006.cro,https://doi.org/10.1075/jsls.22006.cro,Journal of Second Language Studies,4,2022
Language policy and planning as an interdisciplinary field: towards a complexity approach,Albert Bastardas-Boada,10.1080/14664208.2013.829276,https://doi.org/10.1080/14664208.2013.829276,-,31,2013
A Model-Based Systems Architecting and Integration Approach Using Interlevel and Intralevel Dependency Matrix,"Shatad Purohit, A. Madni",10.1109/JSYST.2021.3077351,https://doi.org/10.1109/JSYST.2021.3077351,IEEE Systems Journal,10,2022
Multilingual Information Access on the Web,"S. Montalvo, Raquel Martínez-Unanue, Víctor Fresno-Fernández, Rafael Capilla",10.1109/MC.2015.203,https://doi.org/10.1109/MC.2015.203,Computer,5,2015
Interoperability: A Key to the Future,"Nikolina Renieri, Dimitrios Serpanos, Dimitrios Serpanos",10.1109/MC.2025.3547072,https://doi.org/10.1109/MC.2025.3547072,Computer,0,2025
Multidisciplinary Interoperability for Earth Observations: Some Architectural Issues,"P. Mazzetti, S. Nativi",10.1109/JSTARS.2012.2190721,https://doi.org/10.1109/JSTARS.2012.2190721,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,7,2012
The external and data loose coupling for the integration of software units: a systematic mapping study,"Juan Antonio Ruiz Ceniceros, J. Aguilar, Roberto Espinosa, Carolina Tripp Barba",10.7717/peerj-cs.796,https://doi.org/10.7717/peerj-cs.796,PeerJ Computer Science,1,2021
Semi-automated schema integration with SASMINT,"O. Unal, H. Afsarmanesh",10.1007/s10115-009-0217-z,https://doi.org/10.1007/s10115-009-0217-z,Knowledge and Information Systems,19,2010
Corpus-based terminological evaluation of ontologies,"M. Rospocher, Sara Tonelli, L. Serafini, E. Pianta",10.3233/AO-2012-0114,https://doi.org/10.3233/AO-2012-0114,Appl. Ontology,22,2012
A Conceptual Framework for Integrating Methodologies in Management: Partial Results of a Systemic Intervention in a Textile SME in Argentina,"M. A. Castellini, Alberto Paucar‐Caceres",10.1002/SRES.2552,https://doi.org/10.1002/SRES.2552,Systems research and behavioral science,17,2018
"Understanding and assessing intercultural competence in an online environment: a case study of transnational educatioin programme delivery between college students in ULPGC, Spain, and ICES, France",Richard Clouet,-,-,-,11,2013
Meemi: A simple method for post-processing and integrating cross-lingual word embeddings,"Yerai Doval, José Camacho-Collados, Luis Espinosa-Anke, S. Schockaert",10.1017/S1351324921000280,https://doi.org/10.1017/S1351324921000280,Natural Language Engineering,1,2020
Automatic Multilingual Stopwords Identification from Very Small Corpora,S. Ferilli,10.3390/electronics10172169,https://doi.org/10.3390/electronics10172169,Electronics,12,2021
Interdisciplinary engineering of cyber-physical production systems: highlighting the benefits of a combined interdisciplinary modelling approach on the basis of an industrial case,"B. Vogel‐Heuser, M. Böhm, Felix Brodeck, Katharina G. Kugler, Sabine Maasen, Dorothea Pantförder, M. Zou, J. Buchholz, H. Bauer, Felix Brandl, U. Lindemann",10.1017/dsj.2020.2,https://doi.org/10.1017/dsj.2020.2,Design Science,27,2020
Cross-lingual semantic annotation of biomedical literature: experiments in Spanish and English,"Naiara Pérez, Pablo Accuosto, À. Bravo, Montse Cuadros, E. Martínez-García, Horacio Saggion, German Rigau",10.1093/bioinformatics/btz853,https://doi.org/10.1093/bioinformatics/btz853,Bioinform.,15,2019
Language policy and planning: a discussion on the complexity of language matters and the role of computational methods,Marco Civico,10.1007/s43545-021-00206-6,https://doi.org/10.1007/s43545-021-00206-6,SN Social Sciences,4,2021
The dynamics of terms and meaning in the domain of machining terminology,Ann Bertels,10.1075/TERM.17.1.06BER,https://doi.org/10.1075/TERM.17.1.06BER,-,5,2011
"InterTADs: integration of multi-omics data on topologically associated domains, application to chronic lymphocytic leukemia","M. Tsagiopoulou, N. Pechlivanis, M. C. Maniou, F. Psomopoulos",10.1093/nargab/lqab121,https://doi.org/10.1093/nargab/lqab121,NAR Genomics and Bioinformatics,2,2022
The Role of AI and Legal Linguistics in Ensuring Compliance with Language Requirements in International Law,"Abdurahim Mannonov, Botir Boymurodov, Saboxat Sultanova, I. Umarova, Shirinkhon Khujaeva, Javohir Saidov",10.51983/ijiss-2025.ijiss.15.2.03,https://doi.org/10.51983/ijiss-2025.ijiss.15.2.03,Indian Journal of Information Sources and Services,0,2025
Grounding End-to-End Pre-trained architectures for Semantic Role Labeling in multiple languages,"C. D. Hromei, D. Croce, Roberto Basili",10.3233/IA-230012,https://doi.org/10.3233/IA-230012,Intelligenza Artificiale,0,2023
Testing Conformance and Interoperability of eHealth Applications,"Tuncay Namli, A. Dogac",10.3414/ME09-02-0022,https://doi.org/10.3414/ME09-02-0022,Methods of Information in Medicine,18,2010
Assessing the Real Impact of Open-Source Components in Software Systems,"Andy Molin, Andrei Mario Riviš, Radu Marinescu",10.1109/ACCESS.2023.3322362,https://doi.org/10.1109/ACCESS.2023.3322362,IEEE Access,0,2023
SEAL: Integrating Program Analysis and Repository Mining,"Florian Sattler, Sebastian Böhm, Philipp Dominik Schubert, Norbert Siegmund, S. Apel",10.1145/3585008,https://doi.org/10.1145/3585008,ACM Transactions on Software Engineering and Methodology,7,2023
Issues of multilingualism for scientific knowledge: practices for assessing research projects in terms of linguistic diversity,"Laurent Gajo, Anne-Claude Berthoud",10.1080/21568235.2020.1777451,https://doi.org/10.1080/21568235.2020.1777451,-,3,2020
Cyber-Physical Systems: a multi-criteria assessment for Internet-of-Things (IoT) systems,"Edgar M. Silva, R. Jardim-Gonçalves",10.1080/17517575.2019.1698060,https://doi.org/10.1080/17517575.2019.1698060,Enterprise Information Systems,14,2019
From Monolingualism to Multilingualism: Deep Learning-Enhanced Multilingual Text Semantic Communication System,"Guangyao Cheng, Zhengchuan Chen, Rui She, Min Liu, Tony Q. S. Quek",10.1109/LCOMM.2025.3565692,https://doi.org/10.1109/LCOMM.2025.3565692,IEEE Communications Letters,0,2025
On the Move to Meaningful Internet Systems: OTM 2015 Workshops,"I. Ciuciu, H. Panetto, C. Debruyne, A. Aubry, Peter Bollen, R. Valencia-García, A. Mishra, A. Fensel, F. Ferri",10.1007/978-3-319-26138-6,https://doi.org/10.1007/978-3-319-26138-6,Lecture Notes in Computer Science,12,2015
On the formal definition of the systems’ interoperability capability: an anthropomorphic approach,"Milan Zdravković, Fernando Luís-Ferreira, R. Jardim-Gonçalves, M. Trajanovic",10.1080/17517575.2015.1057236,https://doi.org/10.1080/17517575.2015.1057236,Enterprise Information Systems,10,2017
Neue Perspektiven für die Dolmetschwissenschaft durch systemtheoretische Modellierung,Heidemarie Salevsky,10.1515/les-2021-0003,https://doi.org/10.1515/les-2021-0003,-,1,2021
Bilingual workplaces: integrating cultural approaches to information literacy into foreign language educational practices,A. Hicks,10.11645/8.1.1865,https://doi.org/10.11645/8.1.1865,-,13,2014
Contextual word embeddings for tabular data search and integration,"José Pilaluisa, D. Tomás, Borja Navarro-Colorado, J. Mazón",10.1007/s00521-022-08066-8,https://doi.org/10.1007/s00521-022-08066-8,Neural computing & applications (Print),2,2022
Integrated assessment of emerging science and technologies as creating learning processes among assessment communities,"Ellen-Marie Forsberg, Barbara E. Ribeiro, N. Heyen, R. O. Nielsen, E. Thorstensen, Erik de Bakker, Lars Klüver, T. Reiss, V. Beekman, K. Millar",10.1186/s40504-016-0042-6,https://doi.org/10.1186/s40504-016-0042-6,"Life Sciences, Society and Policy",9,2016
Software infrastructure and data pipelines established for technical interoperability within a cross-border cooperation for the flora of the Bohemian Forest,"P. Novotný, S. Seifert, Martin Rohn, W. Diewald, M. Štech, D. Triebel",10.3897/BDJ.10.e87254,https://doi.org/10.3897/BDJ.10.e87254,Biodiversity Data Journal,4,2022
Soft Systems Methodology and Interdisciplinarity in Management Education,"L. Cezarino, L. Liboni, M. Oliveira, A. Caldana",10.1002/SRES.2383,https://doi.org/10.1002/SRES.2383,-,13,2016
T3L: Translate-and-Test Transfer Learning for Cross-Lingual Text Classification,"Inigo Jauregi Unanue, Gholamreza Haffari, M. Piccardi",10.1162/tacl_a_00593,https://doi.org/10.1162/tacl_a_00593,Transactions of the Association for Computational Linguistics,10,2023
"BIM Methodology in Structural Design: A Practical Case of Collaboration, Coordination, and Integration","A. Sampaio, Paulo Sequeira, Augusto Gomes, A. Sánchez-Lite",10.3390/buildings13010031,https://doi.org/10.3390/buildings13010031,Buildings,14,2022
Chapter 16: Text Mining for Translational Bioinformatics,"K. B. Cohen, Lawrence Hunter",10.1371/journal.pcbi.1003044,https://doi.org/10.1371/journal.pcbi.1003044,PLoS Comput. Biol.,18,2013
Cultivating translingual and transcultural competence in a multilingual university,"C. Kunschak, Birgit Strotmann",10.1080/01434632.2023.2287669,https://doi.org/10.1080/01434632.2023.2287669,Journal of Multilingual and Multicultural Development,2,2023
Supporting the Combined Selection of Model-Based Testing Techniques,"A. C. Dias-Neto, G. Travassos",10.1109/TSE.2014.2312915,https://doi.org/10.1109/TSE.2014.2312915,IEEE Transactions on Software Engineering,18,2014
Intelligent Transportation System Protocol Interoperability Evaluation,"Jonas Vogt, Hans D. Schotten, H. Wieker",10.1109/ojits.2025.3531549,https://doi.org/10.1109/ojits.2025.3531549,IEEE Open Journal of Intelligent Transportation Systems,0,2025
"Software Processes and Methodologies Modeling Language SPMML, A Holistic Solution for Software Engineering","Sandro Bolanos Castro Javier, R. González Crespo, Victor Hugo Medina",10.1109/TLA.2014.6868888,https://doi.org/10.1109/TLA.2014.6868888,IEEE Latin America Transactions,9,2014
Open Source Software Sustainability: Combining Institutional Analysis and Socio-Technical Networks,"Likang Yin, Mahasweta Chakraborti, C. Schweik, Seth Frey, V. Filkov",10.1145/3555129,https://doi.org/10.1145/3555129,Proc. ACM Hum. Comput. Interact.,12,2022
Towards a recipe for language decomposition: quality assessment of language product lines,"W. Cazzola, L. Favalli",10.1007/s10664-021-10074-6,https://doi.org/10.1007/s10664-021-10074-6,Empirical Software Engineering,7,2022
